Altium Designer Pick and Place Locations
D:\GH0050\pcb\Others\sensor\TP_Conv1.2\Project Outputs for TP_Conv1.1\Pick Place\Pick Place for sensor_V1.1.txt

========================================================================================================================
File Design Information:

Date:       25/03/25
Time:       12:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment           Layer       Footprint                                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
SW3        KH-4.5X4.5X7H-STM TopLayer    SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8            655.000       -965.000      180      "Tactile Switch, 6 ¡Á 6 mm, Height 5.0mm, 4-Pin THD"                                                              
R22        1K/1%             TopLayer    RESC1608X055N_0603                         684.000       -831.000      180      "Resistor, Standard"                                                                                             
R21        10K               TopLayer    RESC1608X055N_0603                         780.000       -788.000      270      "Resistor, Standard"                                                                                             
C14        Capacitor_0603    TopLayer    CAPC1608X092N_0603                         685.492       -759.000      180      "Capacitor, MLCC"                                                                                                
U3         CW32L010F8P6      BottomLayer TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL          225.000       -590.000      180      ""                                                                                                               
C13        Capacitor_0603    TopLayer    CAPC1608X092N_0603                         190.000       -802.492      90       "Capacitor, MLCC"                                                                                                
R20        510               TopLayer    RESC1608X055N_0603                         945.667       -363.000      90       "Resistor, Standard"                                                                                             
R19        510               TopLayer    RESC1608X055N_0603                         872.333       -363.000      90       "Resistor, Standard"                                                                                             
R18        510               TopLayer    RESC1608X055N_0603                         680.000       -260.000      0        "Resistor, Standard"                                                                                             
R17        510               TopLayer    RESC1608X055N_0603                         725.667       -363.000      90       "Resistor, Standard"                                                                                             
R16        510               TopLayer    RESC1608X055N_0603                         652.333       -363.000      90       "Resistor, Standard"                                                                                             
R15        510               TopLayer    RESC1608X055N_0603                         796.000       -364.000      90       "Resistor, Standard"                                                                                             
R14        510               TopLayer    RESC1608X055N_0603                         1019.000      -363.000      270      "Resistor, Standard"                                                                                             
R8         510               TopLayer    RESC1608X055N_0603                         579.000       -363.000      270      "Resistor, Standard"                                                                                             
A          5001              BottomLayer KSTN-5001                                  1005.000      -55.000       90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
B          5001              BottomLayer KSTN-5001                                  890.000       -55.000       90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
I-         5001              BottomLayer KSTN-5001                                  975.000       -1000.000     90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
I+         5001              BottomLayer KSTN-5001                                  705.000       -1018.000     90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
GND        5001              BottomLayer KSTN-5001                                  500.000       -55.000       90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
VCC        5001              BottomLayer KSTN-5001                                  380.000       -60.000       90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
S+         5001              BottomLayer KSTN-5001                                  310.000       -1015.000     90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
S-         5001              BottomLayer KSTN-5001                                  606.000       -1017.000     90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                       
