ASCII 点阵字库索引表
==========================================================================================
序号     字符   ASCII  Unicode    偏移(像素区)      宽度     高度     行字节   
------------------------------------------------------------------------------------------
0           32     0x00000020   0x00000000     8      16     1     
1      !    33     0x00000021   0x00000010     8      16     1     
2      "    34     0x00000022   0x00000020     8      16     1     
3      #    35     0x00000023   0x00000030     8      16     1     
4      $    36     0x00000024   0x00000040     8      16     1     
5      %    37     0x00000025   0x00000050     8      16     1     
6      &    38     0x00000026   0x00000060     8      16     1     
7      '    39     0x00000027   0x00000070     8      16     1     
8      (    40     0x00000028   0x00000080     8      16     1     
9      )    41     0x00000029   0x00000090     8      16     1     
10     *    42     0x0000002A   0x000000A0     8      16     1     
11     +    43     0x0000002B   0x000000B0     8      16     1     
12     ,    44     0x0000002C   0x000000C0     8      16     1     
13     -    45     0x0000002D   0x000000D0     8      16     1     
14     .    46     0x0000002E   0x000000E0     8      16     1     
15     /    47     0x0000002F   0x000000F0     8      16     1     
16     0    48     0x00000030   0x00000100     8      16     1     
17     1    49     0x00000031   0x00000110     8      16     1     
18     2    50     0x00000032   0x00000120     8      16     1     
19     3    51     0x00000033   0x00000130     8      16     1     
20     4    52     0x00000034   0x00000140     8      16     1     
21     5    53     0x00000035   0x00000150     8      16     1     
22     6    54     0x00000036   0x00000160     8      16     1     
23     7    55     0x00000037   0x00000170     8      16     1     
24     8    56     0x00000038   0x00000180     8      16     1     
25     9    57     0x00000039   0x00000190     8      16     1     
26     :    58     0x0000003A   0x000001A0     8      16     1     
27     ;    59     0x0000003B   0x000001B0     8      16     1     
28     <    60     0x0000003C   0x000001C0     8      16     1     
29     =    61     0x0000003D   0x000001D0     8      16     1     
30     >    62     0x0000003E   0x000001E0     8      16     1     
31     ?    63     0x0000003F   0x000001F0     8      16     1     
32     @    64     0x00000040   0x00000200     8      16     1     
33     A    65     0x00000041   0x00000210     8      16     1     
34     B    66     0x00000042   0x00000220     8      16     1     
35     C    67     0x00000043   0x00000230     8      16     1     
36     D    68     0x00000044   0x00000240     8      16     1     
37     E    69     0x00000045   0x00000250     8      16     1     
38     F    70     0x00000046   0x00000260     8      16     1     
39     G    71     0x00000047   0x00000270     8      16     1     
40     H    72     0x00000048   0x00000280     8      16     1     
41     I    73     0x00000049   0x00000290     8      16     1     
42     J    74     0x0000004A   0x000002A0     8      16     1     
43     K    75     0x0000004B   0x000002B0     8      16     1     
44     L    76     0x0000004C   0x000002C0     8      16     1     
45     M    77     0x0000004D   0x000002D0     8      16     1     
46     N    78     0x0000004E   0x000002E0     8      16     1     
47     O    79     0x0000004F   0x000002F0     8      16     1     
48     P    80     0x00000050   0x00000300     8      16     1     
49     Q    81     0x00000051   0x00000310     8      16     1     
50     R    82     0x00000052   0x00000320     8      16     1     
51     S    83     0x00000053   0x00000330     8      16     1     
52     T    84     0x00000054   0x00000340     8      16     1     
53     U    85     0x00000055   0x00000350     8      16     1     
54     V    86     0x00000056   0x00000360     8      16     1     
55     W    87     0x00000057   0x00000370     8      16     1     
56     X    88     0x00000058   0x00000380     8      16     1     
57     Y    89     0x00000059   0x00000390     8      16     1     
58     Z    90     0x0000005A   0x000003A0     8      16     1     
59     [    91     0x0000005B   0x000003B0     8      16     1     
60     \    92     0x0000005C   0x000003C0     8      16     1     
61     ]    93     0x0000005D   0x000003D0     8      16     1     
62     ^    94     0x0000005E   0x000003E0     8      16     1     
63     _    95     0x0000005F   0x000003F0     8      16     1     
64     `    96     0x00000060   0x00000400     8      16     1     
65     a    97     0x00000061   0x00000410     8      16     1     
66     b    98     0x00000062   0x00000420     8      16     1     
67     c    99     0x00000063   0x00000430     8      16     1     
68     d    100    0x00000064   0x00000440     8      16     1     
69     e    101    0x00000065   0x00000450     8      16     1     
70     f    102    0x00000066   0x00000460     8      16     1     
71     g    103    0x00000067   0x00000470     8      16     1     
72     h    104    0x00000068   0x00000480     8      16     1     
73     i    105    0x00000069   0x00000490     8      16     1     
74     j    106    0x0000006A   0x000004A0     8      16     1     
75     k    107    0x0000006B   0x000004B0     8      16     1     
76     l    108    0x0000006C   0x000004C0     8      16     1     
77     m    109    0x0000006D   0x000004D0     8      16     1     
78     n    110    0x0000006E   0x000004E0     8      16     1     
79     o    111    0x0000006F   0x000004F0     8      16     1     
80     p    112    0x00000070   0x00000500     8      16     1     
81     q    113    0x00000071   0x00000510     8      16     1     
82     r    114    0x00000072   0x00000520     8      16     1     
83     s    115    0x00000073   0x00000530     8      16     1     
84     t    116    0x00000074   0x00000540     8      16     1     
85     u    117    0x00000075   0x00000550     8      16     1     
86     v    118    0x00000076   0x00000560     8      16     1     
87     w    119    0x00000077   0x00000570     8      16     1     
88     x    120    0x00000078   0x00000580     8      16     1     
89     y    121    0x00000079   0x00000590     8      16     1     
90     z    122    0x0000007A   0x000005A0     8      16     1     
91     {    123    0x0000007B   0x000005B0     8      16     1     
92     |    124    0x0000007C   0x000005C0     8      16     1     
93     }    125    0x0000007D   0x000005D0     8      16     1     
94     ~    126    0x0000007E   0x000005E0     8      16     1     
==========================================================================================
总字符数: 95
固定尺寸: 是
尺寸: 8x16
像素数据总字节: 1520
