# 字符 绝对偏移(十六进制)  (从文件头开始)
  0x0000078C
! 0x000007AC
" 0x000007CC
# 0x000007EC
$ 0x0000080C
% 0x0000082C
& 0x0000084C
' 0x0000086C
( 0x0000088C
) 0x000008AC
* 0x000008CC
+ 0x000008EC
, 0x0000090C
- 0x0000092C
. 0x0000094C
/ 0x0000096C
0 0x0000098C
1 0x000009AC
2 0x000009CC
3 0x000009EC
4 0x00000A0C
5 0x00000A2C
6 0x00000A4C
7 0x00000A6C
8 0x00000A8C
9 0x00000AAC
: 0x00000ACC
; 0x00000AEC
< 0x00000B0C
= 0x00000B2C
> 0x00000B4C
? 0x00000B6C
@ 0x00000B8C
A 0x00000BAC
B 0x00000BCC
C 0x00000BEC
D 0x00000C0C
E 0x00000C2C
F 0x00000C4C
G 0x00000C6C
H 0x00000C8C
I 0x00000CAC
J 0x00000CCC
K 0x00000CEC
L 0x00000D0C
M 0x00000D2C
N 0x00000D4C
O 0x00000D6C
P 0x00000D8C
Q 0x00000DAC
R 0x00000DCC
S 0x00000DEC
T 0x00000E0C
U 0x00000E2C
V 0x00000E4C
W 0x00000E6C
X 0x00000E8C
Y 0x00000EAC
Z 0x00000ECC
[ 0x00000EEC
\ 0x00000F0C
] 0x00000F2C
^ 0x00000F4C
_ 0x00000F6C
` 0x00000F8C
a 0x00000FAC
b 0x00000FCC
c 0x00000FEC
d 0x0000100C
e 0x0000102C
f 0x0000104C
g 0x0000106C
h 0x0000108C
i 0x000010AC
j 0x000010CC
k 0x000010EC
l 0x0000110C
m 0x0000112C
n 0x0000114C
o 0x0000116C
p 0x0000118C
q 0x000011AC
r 0x000011CC
s 0x000011EC
t 0x0000120C
u 0x0000122C
v 0x0000124C
w 0x0000126C
x 0x0000128C
y 0x000012AC
z 0x000012CC
{ 0x000012EC
| 0x0000130C
} 0x0000132C
~ 0x0000134C
