# 字符 绝对偏移(十六进制)  (从文件头开始)
  0x0000078C
! 0x0000079C
" 0x000007AC
# 0x000007BC
$ 0x000007CC
% 0x000007DC
& 0x000007EC
' 0x000007FC
( 0x0000080C
) 0x0000081C
* 0x0000082C
+ 0x0000083C
, 0x0000084C
- 0x0000085C
. 0x0000086C
/ 0x0000087C
0 0x0000088C
1 0x0000089C
2 0x000008AC
3 0x000008BC
4 0x000008CC
5 0x000008DC
6 0x000008EC
7 0x000008FC
8 0x0000090C
9 0x0000091C
: 0x0000092C
; 0x0000093C
< 0x0000094C
= 0x0000095C
> 0x0000096C
? 0x0000097C
@ 0x0000098C
A 0x0000099C
B 0x000009AC
C 0x000009BC
D 0x000009CC
E 0x000009DC
F 0x000009EC
G 0x000009FC
H 0x00000A0C
I 0x00000A1C
J 0x00000A2C
K 0x00000A3C
L 0x00000A4C
M 0x00000A5C
N 0x00000A6C
O 0x00000A7C
P 0x00000A8C
Q 0x00000A9C
R 0x00000AAC
S 0x00000ABC
T 0x00000ACC
U 0x00000ADC
V 0x00000AEC
W 0x00000AFC
X 0x00000B0C
Y 0x00000B1C
Z 0x00000B2C
[ 0x00000B3C
\ 0x00000B4C
] 0x00000B5C
^ 0x00000B6C
_ 0x00000B7C
` 0x00000B8C
a 0x00000B9C
b 0x00000BAC
c 0x00000BBC
d 0x00000BCC
e 0x00000BDC
f 0x00000BEC
g 0x00000BFC
h 0x00000C0C
i 0x00000C1C
j 0x00000C2C
k 0x00000C3C
l 0x00000C4C
m 0x00000C5C
n 0x00000C6C
o 0x00000C7C
p 0x00000C8C
q 0x00000C9C
r 0x00000CAC
s 0x00000CBC
t 0x00000CCC
u 0x00000CDC
v 0x00000CEC
w 0x00000CFC
x 0x00000D0C
y 0x00000D1C
z 0x00000D2C
{ 0x00000D3C
| 0x00000D4C
} 0x00000D5C
~ 0x00000D6C
