# 汉字 绝对偏移(十六进制)  (从文件头开始)
啊 0x0001257C
阿 0x000125FC
埃 0x0001267C
挨 0x000126FC
哎 0x0001277C
唉 0x000127FC
哀 0x0001287C
皑 0x000128FC
癌 0x0001297C
蔼 0x000129FC
矮 0x00012A7C
艾 0x00012AFC
碍 0x00012B7C
爱 0x00012BFC
隘 0x00012C7C
鞍 0x00012CFC
氨 0x00012D7C
安 0x00012DFC
俺 0x00012E7C
按 0x00012EFC
暗 0x00012F7C
岸 0x00012FFC
胺 0x0001307C
案 0x000130FC
肮 0x0001317C
昂 0x000131FC
盎 0x0001327C
凹 0x000132FC
敖 0x0001337C
熬 0x000133FC
翱 0x0001347C
袄 0x000134FC
傲 0x0001357C
奥 0x000135FC
懊 0x0001367C
澳 0x000136FC
芭 0x0001377C
捌 0x000137FC
扒 0x0001387C
叭 0x000138FC
吧 0x0001397C
笆 0x000139FC
八 0x00013A7C
疤 0x00013AFC
巴 0x00013B7C
拔 0x00013BFC
跋 0x00013C7C
靶 0x00013CFC
把 0x00013D7C
耙 0x00013DFC
坝 0x00013E7C
霸 0x00013EFC
罢 0x00013F7C
爸 0x00013FFC
白 0x0001407C
柏 0x000140FC
百 0x0001417C
摆 0x000141FC
佰 0x0001427C
败 0x000142FC
拜 0x0001437C
稗 0x000143FC
斑 0x0001447C
班 0x000144FC
搬 0x0001457C
扳 0x000145FC
般 0x0001467C
颁 0x000146FC
板 0x0001477C
版 0x000147FC
扮 0x0001487C
拌 0x000148FC
伴 0x0001497C
瓣 0x000149FC
半 0x00014A7C
办 0x00014AFC
绊 0x00014B7C
邦 0x00014BFC
帮 0x00014C7C
梆 0x00014CFC
榜 0x00014D7C
膀 0x00014DFC
绑 0x00014E7C
棒 0x00014EFC
磅 0x00014F7C
蚌 0x00014FFC
镑 0x0001507C
傍 0x000150FC
谤 0x0001517C
苞 0x000151FC
胞 0x0001527C
包 0x000152FC
褒 0x0001537C
剥 0x000153FC
薄 0x0001547C
雹 0x000154FC
保 0x0001557C
堡 0x000155FC
饱 0x0001567C
宝 0x000156FC
抱 0x0001577C
报 0x000157FC
暴 0x0001587C
豹 0x000158FC
鲍 0x0001597C
爆 0x000159FC
杯 0x00015A7C
碑 0x00015AFC
悲 0x00015B7C
卑 0x00015BFC
北 0x00015C7C
辈 0x00015CFC
背 0x00015D7C
贝 0x00015DFC
钡 0x00015E7C
倍 0x00015EFC
狈 0x00015F7C
备 0x00015FFC
惫 0x0001607C
焙 0x000160FC
被 0x0001617C
奔 0x000161FC
苯 0x0001627C
本 0x000162FC
笨 0x0001637C
崩 0x000163FC
绷 0x0001647C
甭 0x000164FC
泵 0x0001657C
蹦 0x000165FC
迸 0x0001667C
逼 0x000166FC
鼻 0x0001677C
比 0x000167FC
鄙 0x0001687C
笔 0x000168FC
彼 0x0001697C
碧 0x000169FC
蓖 0x00016A7C
蔽 0x00016AFC
毕 0x00016B7C
毙 0x00016BFC
毖 0x00016C7C
币 0x00016CFC
庇 0x00016D7C
痹 0x00016DFC
闭 0x00016E7C
敝 0x00016EFC
