# 汉字 绝对偏移(十六进制)  (从文件头开始)
啊 0x0001257C
阿 0x0001259C
埃 0x000125BC
挨 0x000125DC
哎 0x000125FC
唉 0x0001261C
哀 0x0001263C
皑 0x0001265C
癌 0x0001267C
蔼 0x0001269C
矮 0x000126BC
艾 0x000126DC
碍 0x000126FC
爱 0x0001271C
隘 0x0001273C
鞍 0x0001275C
氨 0x0001277C
安 0x0001279C
俺 0x000127BC
按 0x000127DC
暗 0x000127FC
岸 0x0001281C
胺 0x0001283C
案 0x0001285C
肮 0x0001287C
昂 0x0001289C
盎 0x000128BC
凹 0x000128DC
敖 0x000128FC
熬 0x0001291C
翱 0x0001293C
袄 0x0001295C
傲 0x0001297C
奥 0x0001299C
懊 0x000129BC
澳 0x000129DC
芭 0x000129FC
捌 0x00012A1C
扒 0x00012A3C
叭 0x00012A5C
吧 0x00012A7C
笆 0x00012A9C
八 0x00012ABC
疤 0x00012ADC
巴 0x00012AFC
拔 0x00012B1C
跋 0x00012B3C
靶 0x00012B5C
把 0x00012B7C
耙 0x00012B9C
坝 0x00012BBC
霸 0x00012BDC
罢 0x00012BFC
爸 0x00012C1C
白 0x00012C3C
柏 0x00012C5C
百 0x00012C7C
摆 0x00012C9C
佰 0x00012CBC
败 0x00012CDC
拜 0x00012CFC
稗 0x00012D1C
斑 0x00012D3C
班 0x00012D5C
搬 0x00012D7C
扳 0x00012D9C
般 0x00012DBC
颁 0x00012DDC
板 0x00012DFC
版 0x00012E1C
扮 0x00012E3C
拌 0x00012E5C
伴 0x00012E7C
瓣 0x00012E9C
半 0x00012EBC
办 0x00012EDC
绊 0x00012EFC
邦 0x00012F1C
帮 0x00012F3C
梆 0x00012F5C
榜 0x00012F7C
膀 0x00012F9C
绑 0x00012FBC
棒 0x00012FDC
磅 0x00012FFC
蚌 0x0001301C
镑 0x0001303C
傍 0x0001305C
谤 0x0001307C
苞 0x0001309C
胞 0x000130BC
包 0x000130DC
褒 0x000130FC
剥 0x0001311C
薄 0x0001313C
雹 0x0001315C
保 0x0001317C
堡 0x0001319C
饱 0x000131BC
宝 0x000131DC
抱 0x000131FC
报 0x0001321C
暴 0x0001323C
豹 0x0001325C
鲍 0x0001327C
爆 0x0001329C
杯 0x000132BC
碑 0x000132DC
悲 0x000132FC
卑 0x0001331C
北 0x0001333C
辈 0x0001335C
背 0x0001337C
贝 0x0001339C
钡 0x000133BC
倍 0x000133DC
狈 0x000133FC
备 0x0001341C
惫 0x0001343C
焙 0x0001345C
被 0x0001347C
奔 0x0001349C
苯 0x000134BC
本 0x000134DC
笨 0x000134FC
崩 0x0001351C
绷 0x0001353C
甭 0x0001355C
泵 0x0001357C
蹦 0x0001359C
迸 0x000135BC
逼 0x000135DC
鼻 0x000135FC
比 0x0001361C
鄙 0x0001363C
笔 0x0001365C
彼 0x0001367C
碧 0x0001369C
蓖 0x000136BC
蔽 0x000136DC
毕 0x000136FC
毙 0x0001371C
毖 0x0001373C
币 0x0001375C
庇 0x0001377C
痹 0x0001379C
闭 0x000137BC
敝 0x000137DC
弊 0x000137FC
必 0x0001381C
辟 0x0001383C
壁 0x0001385C
臂 0x0001387C
避 0x0001389C
陛 0x000138BC
鞭 0x000138DC
边 0x000138FC
编 0x0001391C
贬 0x0001393C
扁 0x0001395C
便 0x0001397C
变 0x0001399C
卞 0x000139BC
辨 0x000139DC
辩 0x000139FC
辫 0x00013A1C
遍 0x00013A3C
标 0x00013A5C
彪 0x00013A7C
膘 0x00013A9C
表 0x00013ABC
鳖 0x00013ADC
憋 0x00013AFC
别 0x00013B1C
瘪 0x00013B3C
彬 0x00013B5C
斌 0x00013B7C
濒 0x00013B9C
滨 0x00013BBC
宾 0x00013BDC
摈 0x00013BFC
兵 0x00013C1C
冰 0x00013C3C
柄 0x00013C5C
丙 0x00013C7C
秉 0x00013C9C
饼 0x00013CBC
炳 0x00013CDC
病 0x00013CFC
并 0x00013D1C
玻 0x00013D3C
菠 0x00013D5C
播 0x00013D7C
拨 0x00013D9C
钵 0x00013DBC
波 0x00013DDC
博 0x00013DFC
勃 0x00013E1C
搏 0x00013E3C
铂 0x00013E5C
箔 0x00013E7C
伯 0x00013E9C
帛 0x00013EBC
舶 0x00013EDC
脖 0x00013EFC
膊 0x00013F1C
渤 0x00013F3C
泊 0x00013F5C
驳 0x00013F7C
捕 0x00013F9C
卜 0x00013FBC
哺 0x00013FDC
补 0x00013FFC
埠 0x0001401C
不 0x0001403C
布 0x0001405C
步 0x0001407C
簿 0x0001409C
部 0x000140BC
怖 0x000140DC
擦 0x000140FC
猜 0x0001411C
裁 0x0001413C
材 0x0001415C
才 0x0001417C
财 0x0001419C
睬 0x000141BC
踩 0x000141DC
采 0x000141FC
彩 0x0001421C
菜 0x0001423C
蔡 0x0001425C
餐 0x0001427C
参 0x0001429C
蚕 0x000142BC
残 0x000142DC
惭 0x000142FC
惨 0x0001431C
灿 0x0001433C
苍 0x0001435C
舱 0x0001437C
仓 0x0001439C
沧 0x000143BC
藏 0x000143DC
操 0x000143FC
糙 0x0001441C
槽 0x0001443C
曹 0x0001445C
草 0x0001447C
厕 0x0001449C
策 0x000144BC
侧 0x000144DC
册 0x000144FC
测 0x0001451C
层 0x0001453C
蹭 0x0001455C
插 0x0001457C
叉 0x0001459C
茬 0x000145BC
茶 0x000145DC
查 0x000145FC
碴 0x0001461C
搽 0x0001463C
察 0x0001465C
岔 0x0001467C
差 0x0001469C
诧 0x000146BC
拆 0x000146DC
柴 0x000146FC
豺 0x0001471C
搀 0x0001473C
掺 0x0001475C
蝉 0x0001477C
馋 0x0001479C
谗 0x000147BC
缠 0x000147DC
铲 0x000147FC
产 0x0001481C
阐 0x0001483C
颤 0x0001485C
昌 0x0001487C
猖 0x0001489C
场 0x000148BC
尝 0x000148DC
常 0x000148FC
长 0x0001491C
偿 0x0001493C
肠 0x0001495C
厂 0x0001497C
敞 0x0001499C
畅 0x000149BC
唱 0x000149DC
倡 0x000149FC
超 0x00014A1C
抄 0x00014A3C
钞 0x00014A5C
朝 0x00014A7C
嘲 0x00014A9C
潮 0x00014ABC
巢 0x00014ADC
吵 0x00014AFC
炒 0x00014B1C
车 0x00014B3C
扯 0x00014B5C
撤 0x00014B7C
掣 0x00014B9C
彻 0x00014BBC
澈 0x00014BDC
