16x16 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 16x16
字体: C:/Windows/Fonts/msyh.ttc

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
--------------------------------------------------------------------------------
0      一    0x00004E00   0x00000000     16     16     2     
1      丁    0x00004E01   0x00000020     16     16     2     
2      七    0x00004E03   0x00000040     16     16     2     
3      万    0x00004E07   0x00000060     16     16     2     
4      丈    0x00004E08   0x00000080     16     16     2     
5      三    0x00004E09   0x000000A0     16     16     2     
6      上    0x00004E0A   0x000000C0     16     16     2     
7      下    0x00004E0B   0x000000E0     16     16     2     
8      不    0x00004E0D   0x00000100     16     16     2     
9      与    0x00004E0E   0x00000120     16     16     2     
10     丑    0x00004E11   0x00000140     16     16     2     
11     专    0x00004E13   0x00000160     16     16     2     
12     且    0x00004E14   0x00000180     16     16     2     
13     世    0x00004E16   0x000001A0     16     16     2     
14     丘    0x00004E18   0x000001C0     16     16     2     
15     丙    0x00004E19   0x000001E0     16     16     2     
16     业    0x00004E1A   0x00000200     16     16     2     
17     丛    0x00004E1B   0x00000220     16     16     2     
18     东    0x00004E1C   0x00000240     16     16     2     
19     丝    0x00004E1D   0x00000260     16     16     2     
20     丢    0x00004E22   0x00000280     16     16     2     
21     两    0x00004E24   0x000002A0     16     16     2     
22     严    0x00004E25   0x000002C0     16     16     2     
23     丧    0x00004E27   0x000002E0     16     16     2     
24     个    0x00004E2A   0x00000300     16     16     2     
25     丫    0x00004E2B   0x00000320     16     16     2     
26     中    0x00004E2D   0x00000340     16     16     2     
27     丰    0x00004E30   0x00000360     16     16     2     
28     串    0x00004E32   0x00000380     16     16     2     
29     临    0x00004E34   0x000003A0     16     16     2     
30     丸    0x00004E38   0x000003C0     16     16     2     
31     丹    0x00004E39   0x000003E0     16     16     2     
32     为    0x00004E3A   0x00000400     16     16     2     
33     主    0x00004E3B   0x00000420     16     16     2     
34     丽    0x00004E3D   0x00000440     16     16     2     
35     举    0x00004E3E   0x00000460     16     16     2     
36     乃    0x00004E43   0x00000480     16     16     2     
37     久    0x00004E45   0x000004A0     16     16     2     
38     么    0x00004E48   0x000004C0     16     16     2     
39     义    0x00004E49   0x000004E0     16     16     2     
40     之    0x00004E4B   0x00000500     16     16     2     
41     乌    0x00004E4C   0x00000520     16     16     2     
