32x32 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 32x32
字体: C:/Windows/Fonts/msyh.ttc
加粗半径: 0
反色: False

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
--------------------------------------------------------------------------------
0      一    0x00004E00   0x00000000     32     32     4     
1      丁    0x00004E01   0x00000080     32     32     4     
2      七    0x00004E03   0x00000100     32     32     4     
3      万    0x00004E07   0x00000180     32     32     4     
4      丈    0x00004E08   0x00000200     32     32     4     
5      三    0x00004E09   0x00000280     32     32     4     
6      上    0x00004E0A   0x00000300     32     32     4     
7      下    0x00004E0B   0x00000380     32     32     4     
8      不    0x00004E0D   0x00000400     32     32     4     
9      与    0x00004E0E   0x00000480     32     32     4     
10     丑    0x00004E11   0x00000500     32     32     4     
11     专    0x00004E13   0x00000580     32     32     4     
12     且    0x00004E14   0x00000600     32     32     4     
13     世    0x00004E16   0x00000680     32     32     4     
14     丘    0x00004E18   0x00000700     32     32     4     
15     丙    0x00004E19   0x00000780     32     32     4     
16     业    0x00004E1A   0x00000800     32     32     4     
17     丛    0x00004E1B   0x00000880     32     32     4     
18     东    0x00004E1C   0x00000900     32     32     4     
19     丝    0x00004E1D   0x00000980     32     32     4     
20     丢    0x00004E22   0x00000A00     32     32     4     
21     两    0x00004E24   0x00000A80     32     32     4     
22     严    0x00004E25   0x00000B00     32     32     4     
23     丧    0x00004E27   0x00000B80     32     32     4     
24     个    0x00004E2A   0x00000C00     32     32     4     
25     丫    0x00004E2B   0x00000C80     32     32     4     
26     中    0x00004E2D   0x00000D00     32     32     4     
27     丰    0x00004E30   0x00000D80     32     32     4     
28     串    0x00004E32   0x00000E00     32     32     4     
29     临    0x00004E34   0x00000E80     32     32     4     
30     丸    0x00004E38   0x00000F00     32     32     4     
31     丹    0x00004E39   0x00000F80     32     32     4     
32     为    0x00004E3A   0x00001000     32     32     4     
33     主    0x00004E3B   0x00001080     32     32     4     
34     丽    0x00004E3D   0x00001100     32     32     4     
35     举    0x00004E3E   0x00001180     32     32     4     
36     乃    0x00004E43   0x00001200     32     32     4     
37     久    0x00004E45   0x00001280     32     32     4     
38     么    0x00004E48   0x00001300     32     32     4     
39     义    0x00004E49   0x00001380     32     32     4     
40     之    0x00004E4B   0x00001400     32     32     4     
41     乌    0x00004E4C   0x00001480     32     32     4     
42     乍    0x00004E4D   0x00001500     32     32     4     
43     乎    0x00004E4E   0x00001580     32     32     4     
44     乏    0x00004E4F   0x00001600     32     32     4     
45     乐    0x00004E50   0x00001680     32     32     4     
46     乒    0x00004E52   0x00001700     32     32     4     
47     乓    0x00004E53   0x00001780     32     32     4     
48     乔    0x00004E54   0x00001800     32     32     4     
49     乖    0x00004E56   0x00001880     32     32     4     
50     乘    0x00004E58   0x00001900     32     32     4     
51     乙    0x00004E59   0x00001980     32     32     4     
52     九    0x00004E5D   0x00001A00     32     32     4     
53     乞    0x00004E5E   0x00001A80     32     32     4     
54     也    0x00004E5F   0x00001B00     32     32     4     
55     习    0x00004E60   0x00001B80     32     32     4     
56     乡    0x00004E61   0x00001C00     32     32     4     
57     书    0x00004E66   0x00001C80     32     32     4     
58     买    0x00004E70   0x00001D00     32     32     4     
59     乱    0x00004E71   0x00001D80     32     32     4     
60     乳    0x00004E73   0x00001E00     32     32     4     
61     乾    0x00004E7E   0x00001E80     32     32     4     
62     了    0x00004E86   0x00001F00     32     32     4     
63     予    0x00004E88   0x00001F80     32     32     4     
64     争    0x00004E89   0x00002000     32     32     4     
65     事    0x00004E8B   0x00002080     32     32     4     
66     二    0x00004E8C   0x00002100     32     32     4     
67     于    0x00004E8E   0x00002180     32     32     4     
68     亏    0x00004E8F   0x00002200     32     32     4     
69     云    0x00004E91   0x00002280     32     32     4     
70     互    0x00004E92   0x00002300     32     32     4     
71     五    0x00004E94   0x00002380     32     32     4     
72     井    0x00004E95   0x00002400     32     32     4     
73     亚    0x00004E9A   0x00002480     32     32     4     
74     些    0x00004E9B   0x00002500     32     32     4     
75     亡    0x00004EA1   0x00002580     32     32     4     
76     亢    0x00004EA2   0x00002600     32     32     4     
77     交    0x00004EA4   0x00002680     32     32     4     
78     亥    0x00004EA5   0x00002700     32     32     4     
79     亦    0x00004EA6   0x00002780     32     32     4     
80     产    0x00004EA7   0x00002800     32     32     4     
81     亨    0x00004EA8   0x00002880     32     32     4     
82     亩    0x00004EA9   0x00002900     32     32     4     
83     享    0x00004EAB   0x00002980     32     32     4     
84     京    0x00004EAC   0x00002A00     32     32     4     
85     亭    0x00004EAD   0x00002A80     32     32     4     
86     亮    0x00004EAE   0x00002B00     32     32     4     
87     亲    0x00004EB2   0x00002B80     32     32     4     
88     人    0x00004EBA   0x00002C00     32     32     4     
89     亿    0x00004EBF   0x00002C80     32     32     4     
90     什    0x00004EC0   0x00002D00     32     32     4     
91     仁    0x00004EC1   0x00002D80     32     32     4     
92     仅    0x00004EC5   0x00002E00     32     32     4     
93     仆    0x00004EC6   0x00002E80     32     32     4     
94     仇    0x00004EC7   0x00002F00     32     32     4     
95     今    0x00004ECA   0x00002F80     32     32     4     
96     介    0x00004ECB   0x00003000     32     32     4     
97     仍    0x00004ECD   0x00003080     32     32     4     
98     从    0x00004ECE   0x00003100     32     32     4     
99     仑    0x00004ED1   0x00003180     32     32     4     
100    仓    0x00004ED3   0x00003200     32     32     4     
101    仔    0x00004ED4   0x00003280     32     32     4     
102    仕    0x00004ED5   0x00003300     32     32     4     
103    他    0x00004ED6   0x00003380     32     32     4     
104    仗    0x00004ED7   0x00003400     32     32     4     
105    付    0x00004ED8   0x00003480     32     32     4     
106    仙    0x00004ED9   0x00003500     32     32     4     
107    仟    0x00004EDF   0x00003580     32     32     4     
108    代    0x00004EE3   0x00003600     32     32     4     
109    令    0x00004EE4   0x00003680     32     32     4     
110    以    0x00004EE5   0x00003700     32     32     4     
111    仪    0x00004EEA   0x00003780     32     32     4     
112    们    0x00004EEC   0x00003800     32     32     4     
113    仰    0x00004EF0   0x00003880     32     32     4     
114    仲    0x00004EF2   0x00003900     32     32     4     
115    件    0x00004EF6   0x00003980     32     32     4     
116    价    0x00004EF7   0x00003A00     32     32     4     
117    任    0x00004EFB   0x00003A80     32     32     4     
118    份    0x00004EFD   0x00003B00     32     32     4     
119    仿    0x00004EFF   0x00003B80     32     32     4     
120    企    0x00004F01   0x00003C00     32     32     4     
121    伊    0x00004F0A   0x00003C80     32     32     4     
122    伍    0x00004F0D   0x00003D00     32     32     4     
123    伎    0x00004F0E   0x00003D80     32     32     4     
124    伏    0x00004F0F   0x00003E00     32     32     4     
125    伐    0x00004F10   0x00003E80     32     32     4     
126    休    0x00004F11   0x00003F00     32     32     4     
127    众    0x00004F17   0x00003F80     32     32     4     
128    优    0x00004F18   0x00004000     32     32     4     
129    伙    0x00004F19   0x00004080     32     32     4     
130    会    0x00004F1A   0x00004100     32     32     4     
131    伞    0x00004F1E   0x00004180     32     32     4     
132    伟    0x00004F1F   0x00004200     32     32     4     
133    传    0x00004F20   0x00004280     32     32     4     
134    伤    0x00004F24   0x00004300     32     32     4     
135    伦    0x00004F26   0x00004380     32     32     4     
136    伪    0x00004F2A   0x00004400     32     32     4     
137    伯    0x00004F2F   0x00004480     32     32     4     
138    估    0x00004F30   0x00004500     32     32     4     
139    伴    0x00004F34   0x00004580     32     32     4     
140    伶    0x00004F36   0x00004600     32     32     4     
141    伸    0x00004F38   0x00004680     32     32     4     
142    伺    0x00004F3A   0x00004700     32     32     4     
143    似    0x00004F3C   0x00004780     32     32     4     
