单色点阵汉字库索引表
==========================================================================================
序号     字符   Unicode    偏移(像素区)      宽度     高度     行字节   
------------------------------------------------------------------------------------------
0      啊    0x0000554A   0x00000000     16     16     2     
1      阿    0x0000963F   0x00000020     16     16     2     
2      埃    0x000057C3   0x00000040     16     16     2     
3      挨    0x00006328   0x00000060     16     16     2     
4      哎    0x000054CE   0x00000080     16     16     2     
5      唉    0x00005509   0x000000A0     16     16     2     
6      哀    0x000054C0   0x000000C0     16     16     2     
7      皑    0x00007691   0x000000E0     16     16     2     
8      癌    0x0000764C   0x00000100     16     16     2     
9      蔼    0x0000853C   0x00000120     16     16     2     
10     矮    0x000077EE   0x00000140     16     16     2     
11     艾    0x0000827E   0x00000160     16     16     2     
12     碍    0x0000788D   0x00000180     16     16     2     
13     爱    0x00007231   0x000001A0     16     16     2     
14     隘    0x00009698   0x000001C0     16     16     2     
15     鞍    0x0000978D   0x000001E0     16     16     2     
16     氨    0x00006C28   0x00000200     16     16     2     
17     安    0x00005B89   0x00000220     16     16     2     
18     俺    0x00004FFA   0x00000240     16     16     2     
19     按    0x00006309   0x00000260     16     16     2     
20     暗    0x00006697   0x00000280     16     16     2     
21     岸    0x00005CB8   0x000002A0     16     16     2     
22     胺    0x000080FA   0x000002C0     16     16     2     
23     案    0x00006848   0x000002E0     16     16     2     
24     肮    0x000080AE   0x00000300     16     16     2     
25     昂    0x00006602   0x00000320     16     16     2     
26     盎    0x000076CE   0x00000340     16     16     2     
27     凹    0x000051F9   0x00000360     16     16     2     
28     敖    0x00006556   0x00000380     16     16     2     
29     熬    0x000071AC   0x000003A0     16     16     2     
30     翱    0x00007FF1   0x000003C0     16     16     2     
31     袄    0x00008884   0x000003E0     16     16     2     
32     傲    0x000050B2   0x00000400     16     16     2     
33     奥    0x00005965   0x00000420     16     16     2     
34     懊    0x000061CA   0x00000440     16     16     2     
35     澳    0x00006FB3   0x00000460     16     16     2     
36     芭    0x000082AD   0x00000480     16     16     2     
37     捌    0x0000634C   0x000004A0     16     16     2     
38     扒    0x00006252   0x000004C0     16     16     2     
39     叭    0x000053ED   0x000004E0     16     16     2     
40     吧    0x00005427   0x00000500     16     16     2     
41     笆    0x00007B06   0x00000520     16     16     2     
42     八    0x0000516B   0x00000540     16     16     2     
43     疤    0x000075A4   0x00000560     16     16     2     
44     巴    0x00005DF4   0x00000580     16     16     2     
45     拔    0x000062D4   0x000005A0     16     16     2     
46     跋    0x00008DCB   0x000005C0     16     16     2     
47     靶    0x00009776   0x000005E0     16     16     2     
48     把    0x0000628A   0x00000600     16     16     2     
49     耙    0x00008019   0x00000620     16     16     2     
50     坝    0x0000575D   0x00000640     16     16     2     
51     霸    0x00009738   0x00000660     16     16     2     
52     罢    0x00007F62   0x00000680     16     16     2     
53     爸    0x00007238   0x000006A0     16     16     2     
54     白    0x0000767D   0x000006C0     16     16     2     
55     柏    0x000067CF   0x000006E0     16     16     2     
56     百    0x0000767E   0x00000700     16     16     2     
57     摆    0x00006446   0x00000720     16     16     2     
58     佰    0x00004F70   0x00000740     16     16     2     
59     败    0x00008D25   0x00000760     16     16     2     
60     拜    0x000062DC   0x00000780     16     16     2     
61     稗    0x00007A17   0x000007A0     16     16     2     
62     斑    0x00006591   0x000007C0     16     16     2     
63     班    0x000073ED   0x000007E0     16     16     2     
64     搬    0x0000642C   0x00000800     16     16     2     
65     扳    0x00006273   0x00000820     16     16     2     
66     般    0x0000822C   0x00000840     16     16     2     
67     颁    0x00009881   0x00000860     16     16     2     
68     板    0x0000677F   0x00000880     16     16     2     
69     版    0x00007248   0x000008A0     16     16     2     
70     扮    0x0000626E   0x000008C0     16     16     2     
71     拌    0x000062CC   0x000008E0     16     16     2     
72     伴    0x00004F34   0x00000900     16     16     2     
73     瓣    0x000074E3   0x00000920     16     16     2     
74     半    0x0000534A   0x00000940     16     16     2     
75     办    0x0000529E   0x00000960     16     16     2     
76     绊    0x00007ECA   0x00000980     16     16     2     
77     邦    0x000090A6   0x000009A0     16     16     2     
78     帮    0x00005E2E   0x000009C0     16     16     2     
79     梆    0x00006886   0x000009E0     16     16     2     
80     榜    0x0000699C   0x00000A00     16     16     2     
81     膀    0x00008180   0x00000A20     16     16     2     
82     绑    0x00007ED1   0x00000A40     16     16     2     
83     棒    0x000068D2   0x00000A60     16     16     2     
84     磅    0x000078C5   0x00000A80     16     16     2     
85     蚌    0x0000868C   0x00000AA0     16     16     2     
86     镑    0x00009551   0x00000AC0     16     16     2     
87     傍    0x0000508D   0x00000AE0     16     16     2     
88     谤    0x00008C24   0x00000B00     16     16     2     
89     苞    0x000082DE   0x00000B20     16     16     2     
90     胞    0x000080DE   0x00000B40     16     16     2     
91     包    0x00005305   0x00000B60     16     16     2     
92     褒    0x00008912   0x00000B80     16     16     2     
93     剥    0x00005265   0x00000BA0     16     16     2     
94     薄    0x00008584   0x00000BC0     16     16     2     
95     雹    0x000096F9   0x00000BE0     16     16     2     
96     保    0x00004FDD   0x00000C00     16     16     2     
97     堡    0x00005821   0x00000C20     16     16     2     
98     饱    0x00009971   0x00000C40     16     16     2     
99     宝    0x00005B9D   0x00000C60     16     16     2     
100    抱    0x000062B1   0x00000C80     16     16     2     
101    报    0x000062A5   0x00000CA0     16     16     2     
102    暴    0x000066B4   0x00000CC0     16     16     2     
103    豹    0x00008C79   0x00000CE0     16     16     2     
104    鲍    0x00009C8D   0x00000D00     16     16     2     
105    爆    0x00007206   0x00000D20     16     16     2     
106    杯    0x0000676F   0x00000D40     16     16     2     
107    碑    0x00007891   0x00000D60     16     16     2     
108    悲    0x000060B2   0x00000D80     16     16     2     
109    卑    0x00005351   0x00000DA0     16     16     2     
110    北    0x00005317   0x00000DC0     16     16     2     
111    辈    0x00008F88   0x00000DE0     16     16     2     
112    背    0x000080CC   0x00000E00     16     16     2     
113    贝    0x00008D1D   0x00000E20     16     16     2     
114    钡    0x000094A1   0x00000E40     16     16     2     
115    倍    0x0000500D   0x00000E60     16     16     2     
116    狈    0x000072C8   0x00000E80     16     16     2     
117    备    0x00005907   0x00000EA0     16     16     2     
118    惫    0x000060EB   0x00000EC0     16     16     2     
119    焙    0x00007119   0x00000EE0     16     16     2     
120    被    0x000088AB   0x00000F00     16     16     2     
121    奔    0x00005954   0x00000F20     16     16     2     
122    苯    0x000082EF   0x00000F40     16     16     2     
123    本    0x0000672C   0x00000F60     16     16     2     
124    笨    0x00007B28   0x00000F80     16     16     2     
125    崩    0x00005D29   0x00000FA0     16     16     2     
126    绷    0x00007EF7   0x00000FC0     16     16     2     
127    甭    0x0000752D   0x00000FE0     16     16     2     
128    泵    0x00006CF5   0x00001000     16     16     2     
129    蹦    0x00008E66   0x00001020     16     16     2     
130    迸    0x00008FF8   0x00001040     16     16     2     
131    逼    0x0000903C   0x00001060     16     16     2     
132    鼻    0x00009F3B   0x00001080     16     16     2     
133    比    0x00006BD4   0x000010A0     16     16     2     
134    鄙    0x00009119   0x000010C0     16     16     2     
135    笔    0x00007B14   0x000010E0     16     16     2     
136    彼    0x00005F7C   0x00001100     16     16     2     
137    碧    0x000078A7   0x00001120     16     16     2     
138    蓖    0x000084D6   0x00001140     16     16     2     
139    蔽    0x0000853D   0x00001160     16     16     2     
140    毕    0x00006BD5   0x00001180     16     16     2     
141    毙    0x00006BD9   0x000011A0     16     16     2     
142    毖    0x00006BD6   0x000011C0     16     16     2     
143    币    0x00005E01   0x000011E0     16     16     2     
144    庇    0x00005E87   0x00001200     16     16     2     
145    痹    0x000075F9   0x00001220     16     16     2     
146    闭    0x000095ED   0x00001240     16     16     2     
147    敝    0x0000655D   0x00001260     16     16     2     
148    弊    0x00005F0A   0x00001280     16     16     2     
149    必    0x00005FC5   0x000012A0     16     16     2     
150    辟    0x00008F9F   0x000012C0     16     16     2     
151    壁    0x000058C1   0x000012E0     16     16     2     
152    臂    0x000081C2   0x00001300     16     16     2     
153    避    0x0000907F   0x00001320     16     16     2     
154    陛    0x0000965B   0x00001340     16     16     2     
155    鞭    0x000097AD   0x00001360     16     16     2     
156    边    0x00008FB9   0x00001380     16     16     2     
157    编    0x00007F16   0x000013A0     16     16     2     
158    贬    0x00008D2C   0x000013C0     16     16     2     
159    扁    0x00006241   0x000013E0     16     16     2     
160    便    0x00004FBF   0x00001400     16     16     2     
161    变    0x000053D8   0x00001420     16     16     2     
162    卞    0x0000535E   0x00001440     16     16     2     
163    辨    0x00008FA8   0x00001460     16     16     2     
164    辩    0x00008FA9   0x00001480     16     16     2     
165    辫    0x00008FAB   0x000014A0     16     16     2     
166    遍    0x0000904D   0x000014C0     16     16     2     
167    标    0x00006807   0x000014E0     16     16     2     
168    彪    0x00005F6A   0x00001500     16     16     2     
169    膘    0x00008198   0x00001520     16     16     2     
170    表    0x00008868   0x00001540     16     16     2     
171    鳖    0x00009CD6   0x00001560     16     16     2     
172    憋    0x0000618B   0x00001580     16     16     2     
173    别    0x0000522B   0x000015A0     16     16     2     
174    瘪    0x0000762A   0x000015C0     16     16     2     
175    彬    0x00005F6C   0x000015E0     16     16     2     
176    斌    0x0000658C   0x00001600     16     16     2     
177    濒    0x00006FD2   0x00001620     16     16     2     
178    滨    0x00006EE8   0x00001640     16     16     2     
179    宾    0x00005BBE   0x00001660     16     16     2     
180    摈    0x00006448   0x00001680     16     16     2     
181    兵    0x00005175   0x000016A0     16     16     2     
182    冰    0x000051B0   0x000016C0     16     16     2     
183    柄    0x000067C4   0x000016E0     16     16     2     
184    丙    0x00004E19   0x00001700     16     16     2     
185    秉    0x000079C9   0x00001720     16     16     2     
186    饼    0x0000997C   0x00001740     16     16     2     
187    炳    0x000070B3   0x00001760     16     16     2     
188    病    0x000075C5   0x00001780     16     16     2     
189    并    0x00005E76   0x000017A0     16     16     2     
190    玻    0x000073BB   0x000017C0     16     16     2     
191    菠    0x000083E0   0x000017E0     16     16     2     
192    播    0x000064AD   0x00001800     16     16     2     
193    拨    0x000062E8   0x00001820     16     16     2     
194    钵    0x000094B5   0x00001840     16     16     2     
195    波    0x00006CE2   0x00001860     16     16     2     
196    博    0x0000535A   0x00001880     16     16     2     
197    勃    0x000052C3   0x000018A0     16     16     2     
198    搏    0x0000640F   0x000018C0     16     16     2     
199    铂    0x000094C2   0x000018E0     16     16     2     
200    箔    0x00007B94   0x00001900     16     16     2     
201    伯    0x00004F2F   0x00001920     16     16     2     
202    帛    0x00005E1B   0x00001940     16     16     2     
203    舶    0x00008236   0x00001960     16     16     2     
204    脖    0x00008116   0x00001980     16     16     2     
205    膊    0x0000818A   0x000019A0     16     16     2     
206    渤    0x00006E24   0x000019C0     16     16     2     
207    泊    0x00006CCA   0x000019E0     16     16     2     
208    驳    0x00009A73   0x00001A00     16     16     2     
209    捕    0x00006355   0x00001A20     16     16     2     
210    卜    0x0000535C   0x00001A40     16     16     2     
211    哺    0x000054FA   0x00001A60     16     16     2     
212    补    0x00008865   0x00001A80     16     16     2     
213    埠    0x000057E0   0x00001AA0     16     16     2     
214    不    0x00004E0D   0x00001AC0     16     16     2     
215    布    0x00005E03   0x00001AE0     16     16     2     
216    步    0x00006B65   0x00001B00     16     16     2     
217    簿    0x00007C3F   0x00001B20     16     16     2     
218    部    0x000090E8   0x00001B40     16     16     2     
219    怖    0x00006016   0x00001B60     16     16     2     
220    擦    0x000064E6   0x00001B80     16     16     2     
221    猜    0x0000731C   0x00001BA0     16     16     2     
222    裁    0x000088C1   0x00001BC0     16     16     2     
223    材    0x00006750   0x00001BE0     16     16     2     
224    才    0x0000624D   0x00001C00     16     16     2     
225    财    0x00008D22   0x00001C20     16     16     2     
226    睬    0x0000776C   0x00001C40     16     16     2     
227    踩    0x00008E29   0x00001C60     16     16     2     
228    采    0x000091C7   0x00001C80     16     16     2     
229    彩    0x00005F69   0x00001CA0     16     16     2     
230    菜    0x000083DC   0x00001CC0     16     16     2     
231    蔡    0x00008521   0x00001CE0     16     16     2     
232    餐    0x00009910   0x00001D00     16     16     2     
233    参    0x000053C2   0x00001D20     16     16     2     
234    蚕    0x00008695   0x00001D40     16     16     2     
235    残    0x00006B8B   0x00001D60     16     16     2     
236    惭    0x000060ED   0x00001D80     16     16     2     
237    惨    0x000060E8   0x00001DA0     16     16     2     
238    灿    0x0000707F   0x00001DC0     16     16     2     
239    苍    0x000082CD   0x00001DE0     16     16     2     
240    舱    0x00008231   0x00001E00     16     16     2     
241    仓    0x00004ED3   0x00001E20     16     16     2     
242    沧    0x00006CA7   0x00001E40     16     16     2     
243    藏    0x000085CF   0x00001E60     16     16     2     
244    操    0x000064CD   0x00001E80     16     16     2     
245    糙    0x00007CD9   0x00001EA0     16     16     2     
246    槽    0x000069FD   0x00001EC0     16     16     2     
247    曹    0x000066F9   0x00001EE0     16     16     2     
248    草    0x00008349   0x00001F00     16     16     2     
249    厕    0x00005395   0x00001F20     16     16     2     
250    策    0x00007B56   0x00001F40     16     16     2     
251    侧    0x00004FA7   0x00001F60     16     16     2     
252    册    0x0000518C   0x00001F80     16     16     2     
253    测    0x00006D4B   0x00001FA0     16     16     2     
254    层    0x00005C42   0x00001FC0     16     16     2     
255    蹭    0x00008E6D   0x00001FE0     16     16     2     
256    插    0x000063D2   0x00002000     16     16     2     
257    叉    0x000053C9   0x00002020     16     16     2     
258    茬    0x0000832C   0x00002040     16     16     2     
259    茶    0x00008336   0x00002060     16     16     2     
260    查    0x000067E5   0x00002080     16     16     2     
261    碴    0x000078B4   0x000020A0     16     16     2     
262    搽    0x0000643D   0x000020C0     16     16     2     
263    察    0x00005BDF   0x000020E0     16     16     2     
264    岔    0x00005C94   0x00002100     16     16     2     
265    差    0x00005DEE   0x00002120     16     16     2     
266    诧    0x00008BE7   0x00002140     16     16     2     
267    拆    0x000062C6   0x00002160     16     16     2     
268    柴    0x000067F4   0x00002180     16     16     2     
269    豺    0x00008C7A   0x000021A0     16     16     2     
270    搀    0x00006400   0x000021C0     16     16     2     
271    掺    0x000063BA   0x000021E0     16     16     2     
272    蝉    0x00008749   0x00002200     16     16     2     
273    馋    0x0000998B   0x00002220     16     16     2     
274    谗    0x00008C17   0x00002240     16     16     2     
275    缠    0x00007F20   0x00002260     16     16     2     
276    铲    0x000094F2   0x00002280     16     16     2     
277    产    0x00004EA7   0x000022A0     16     16     2     
278    阐    0x00009610   0x000022C0     16     16     2     
279    颤    0x000098A4   0x000022E0     16     16     2     
