Image Index Table
================================================================================
No.  Name                             Offset(Hex)  Size(Bytes)  Width    Height  
--------------------------------------------------------------------------------
0    airdischarge_1                   0x00000000   4608         48       48      
1    analog_1                         0x00001200   4608         48       48      
2    bar_1                            0x00002400   4608         48       48      
3    cancelsel_1                      0x00003600   4608         48       48      
4    cancel_1                         0x00004800   4608         48       48      
5    CIU_1                            0x00005A00   4608         48       48      
6    counter_1                        0x00006C00   4608         48       48      
7    empty_1                          0x00007E00   4608         48       48      
8    flowctrl_1                       0x00009000   4608         48       48      
9    flow_1                           0x0000A200   4608         48       48      
10   frame1LU_1                       0x0000B400   4608         48       48      
11   frame2RD_1                       0x0000C600   4608         48       48      
12   frame3LD_1                       0x0000D800   4608         48       48      
13   frame4RD_1                       0x0000EA00   4608         48       48      
14   liquidLow_1                      0x0000FC00   4608         48       48      
15   ok_1                             0x00010E00   4608         48       48      
16   OoverT_1                         0x00012000   4608         48       48      
17   outvale_1                        0x00013200   4608         48       48      
18   overL_1                          0x00014400   4608         48       48      
19   powerfault_1                     0x00015600   4608         48       48      
20   pro_1                            0x00016800   4608         48       48      
21   pulse_1                          0x00017A00   4608         48       48      
22   return1_1                        0x00018C00   4608         48       48      
23   return2_1                        0x00019E00   4608         48       48      
24   SD                               0x0001B000   4608         48       48      
25   SGFH                             0x0001C200   4608         48       48      
26   short_1                          0x0001D400   4608         48       48      
27   SJBY                             0x0001E600   4608         48       48      
28   slowmode_1                       0x0001F800   4608         48       48      
29   SRDL                             0x00020A00   4608         48       48      
30   standbyback_1                    0x00021C00   4608         48       48      
31   SYPL                             0x00022E00   4608         48       48      
32   SZ1                              0x00024000   4608         48       48      
33   SZ2                              0x00025200   4608         48       48      
34   TJ                               0x00026400   4608         48       48      
35   TP1                              0x00027600   4608         48       48      
36   valvedischarge_1                 0x00028800   3456         48       36      
37   valveposIn_1                     0x00029580   4608         48       48      
38   valveposOut_1                    0x0002A780   4608         48       48      
39   warn1_1                          0x0002B980   4608         48       48      
40   warn2_1                          0x0002CB80   4608         48       48      
41   WBTJ                             0x0002DD80   4608         48       48      
42   WX                               0x0002EF80   4608         48       48      
43   XJCD                             0x00030180   4608         48       48      
44   XTS                              0x00031380   4608         48       48      
45   XX1                              0x00032580   4608         48       48      
46   XX2                              0x00033780   4608         48       48      
47   XYJLSJ                           0x00034980   4608         48       48      
48   XZ1                              0x00035B80   4608         48       48      
49   XZ2-1                            0x00036D80   4608         48       48      
50   XZ2-2                            0x00037F80   4608         48       48      
51   YX2                              0x00039180   4608         48       48      
52   YXZ                              0x0003A380   4608         48       48      
53   YXZT1                            0x0003B580   4608         48       48      
54   YXZT2                            0x0003C780   4608         48       48      
55   YXZT3                            0x0003D980   4608         48       48      
56   YXZT4                            0x0003EB80   4608         48       48      
57   ZDPQ                             0x0003FD80   4608         48       48      
58   ZJTJRJ                           0x00040F80   4608         48       48      
59   ZX                               0x00042180   4608         48       48      
================================================================================
Total images: 60
Binary file size: 277976 bytes
Table offset in binary: 0x00043380
