ASCII 字库索引表（垂直居中）
序号     字符   Unicode    偏移(Hex)      宽度     高度     pitch 
0           0x00000020   0x0000078C     1      32     1     
1      !    0x00000021   0x000007AC     4      32     1     
2      "    0x00000022   0x000007CC     6      32     1     
3      #    0x00000023   0x000007EC     18     32     3     
4      $    0x00000024   0x0000084C     14     32     2     
5      %    0x00000025   0x0000088C     25     32     4     
6      &    0x00000026   0x0000090C     25     32     4     
7      '    0x00000027   0x0000098C     2      32     1     
8      (    0x00000028   0x000009AC     9      32     2     
9      )    0x00000029   0x000009EC     9      32     2     
10     *    0x0000002A   0x00000A2C     11     32     2     
11     +    0x0000002B   0x00000A6C     16     32     2     
12     ,    0x0000002C   0x00000AAC     5      32     1     
13     -    0x0000002D   0x00000ACC     10     32     2     
14     .    0x0000002E   0x00000B0C     4      32     1     
15     /    0x0000002F   0x00000B2C     15     32     2     
16     0    0x00000030   0x00000B6C     16     32     2     
17     1    0x00000031   0x00000BAC     9      32     2     
18     2    0x00000032   0x00000BEC     16     32     2     
19     3    0x00000033   0x00000C2C     15     32     2     
20     4    0x00000034   0x00000C6C     19     32     3     
21     5    0x00000035   0x00000CCC     13     32     2     
22     6    0x00000036   0x00000D0C     16     32     2     
23     7    0x00000037   0x00000D4C     16     32     2     
24     8    0x00000038   0x00000D8C     16     32     2     
25     9    0x00000039   0x00000DCC     15     32     2     
26     :    0x0000003A   0x00000E0C     4      32     1     
27     ;    0x0000003B   0x00000E2C     5      32     1     
28     <    0x0000003C   0x00000E4C     15     32     2     
29     =    0x0000003D   0x00000E8C     16     32     2     
30     >    0x0000003E   0x00000ECC     15     32     2     
31     ?    0x0000003F   0x00000F0C     12     32     2     
32     @    0x00000040   0x00000F4C     28     32     4     
33     A    0x00000041   0x00000FCC     23     32     3     
34     B    0x00000042   0x0000102C     15     32     2     
35     C    0x00000043   0x0000106C     17     32     3     
36     D    0x00000044   0x000010CC     19     32     3     
37     E    0x00000045   0x0000112C     13     32     2     
38     F    0x00000046   0x0000116C     12     32     2     
39     G    0x00000047   0x000011AC     20     32     3     
40     H    0x00000048   0x0000120C     19     32     3     
41     I    0x00000049   0x0000126C     3      32     1     
42     J    0x0000004A   0x0000128C     9      32     2     
43     K    0x0000004B   0x000012CC     17     32     3     
44     L    0x0000004C   0x0000132C     12     32     2     
45     M    0x0000004D   0x0000136C     25     32     4     
46     N    0x0000004E   0x000013EC     20     32     3     
47     O    0x0000004F   0x0000144C     22     32     3     
48     P    0x00000050   0x000014AC     15     32     2     
49     Q    0x00000051   0x000014EC     23     32     3     
50     R    0x00000052   0x0000154C     18     32     3     
51     S    0x00000053   0x000015AC     14     32     2     
52     T    0x00000054   0x000015EC     17     32     3     
53     U    0x00000055   0x0000164C     18     32     3     
54     V    0x00000056   0x000016AC     22     32     3     
55     W    0x00000057   0x0000170C     32     32     4     
56     X    0x00000058   0x0000178C     21     32     3     
57     Y    0x00000059   0x000017EC     19     32     3     
58     Z    0x0000005A   0x0000184C     18     32     3     
59     [    0x0000005B   0x000018AC     7      32     1     
60     \    0x0000005C   0x000018CC     13     32     2     
61     ]    0x0000005D   0x0000190C     7      32     1     
62     ^    0x0000005E   0x0000192C     16     32     2     
63     _    0x0000005F   0x0000196C     14     32     2     
64     `    0x00000060   0x000019AC     7      32     1     
65     a    0x00000061   0x000019CC     14     32     2     
66     b    0x00000062   0x00001A0C     15     32     2     
67     c    0x00000063   0x00001A4C     13     32     2     
68     d    0x00000064   0x00001A8C     15     32     2     
69     e    0x00000065   0x00001ACC     15     32     2     
70     f    0x00000066   0x00001B0C     11     32     2     
71     g    0x00000067   0x00001B4C     15     32     2     
72     h    0x00000068   0x00001B8C     15     32     2     
73     i    0x00000069   0x00001BCC     4      32     1     
74     j    0x0000006A   0x00001BEC     10     32     2     
75     k    0x0000006B   0x00001C2C     14     32     2     
76     l    0x0000006C   0x00001C6C     3      32     1     
77     m    0x0000006D   0x00001C8C     25     32     4     
78     n    0x0000006E   0x00001D0C     15     32     2     
79     o    0x0000006F   0x00001D4C     16     32     2     
80     p    0x00000070   0x00001D8C     15     32     2     
81     q    0x00000071   0x00001DCC     15     32     2     
82     r    0x00000072   0x00001E0C     9      32     2     
83     s    0x00000073   0x00001E4C     12     32     2     
84     t    0x00000074   0x00001E8C     10     32     2     
85     u    0x00000075   0x00001ECC     15     32     2     
86     v    0x00000076   0x00001F0C     17     32     3     
87     w    0x00000077   0x00001F6C     25     32     4     
88     x    0x00000078   0x00001FEC     16     32     2     
89     y    0x00000079   0x0000202C     17     32     3     
90     z    0x0000007A   0x0000208C     14     32     2     
91     {    0x0000007B   0x000020CC     9      32     2     
92     |    0x0000007C   0x0000210C     3      32     1     
93     }    0x0000007D   0x0000212C     9      32     2     
94     ~    0x0000007E   0x0000216C     16     32     2     
