ASCII 字库索引表（底部对齐）
序号     字符   Unicode    偏移(Hex)      宽度     高度     pitch 
0           0x00000020   0x00000000     1      24     1     
1      !    0x00000021   0x00000018     3      24     1     
2      "    0x00000022   0x00000030     5      24     1     
3      #    0x00000023   0x00000048     14     24     2     
4      $    0x00000024   0x00000078     10     24     2     
5      %    0x00000025   0x000000A8     19     24     3     
6      &    0x00000026   0x000000F0     19     24     3     
7      '    0x00000027   0x00000138     2      24     1     
8      (    0x00000028   0x00000150     6      24     1     
9      )    0x00000029   0x00000168     6      24     1     
10     *    0x0000002A   0x00000180     9      24     2     
11     +    0x0000002B   0x000001B0     12     24     2     
12     ,    0x0000002C   0x000001E0     3      24     1     
13     -    0x0000002D   0x000001F8     6      24     1     
14     .    0x0000002E   0x00000210     3      24     1     
15     /    0x0000002F   0x00000228     10     24     2     
16     0    0x00000030   0x00000258     12     24     2     
17     1    0x00000031   0x00000288     7      24     1     
18     2    0x00000032   0x000002A0     12     24     2     
19     3    0x00000033   0x000002D0     10     24     2     
20     4    0x00000034   0x00000300     14     24     2     
21     5    0x00000035   0x00000330     10     24     2     
22     6    0x00000036   0x00000360     12     24     2     
23     7    0x00000037   0x00000390     12     24     2     
24     8    0x00000038   0x000003C0     12     24     2     
25     9    0x00000039   0x000003F0     11     24     2     
26     :    0x0000003A   0x00000420     3      24     1     
27     ;    0x0000003B   0x00000438     3      24     1     
28     <    0x0000003C   0x00000450     11     24     2     
29     =    0x0000003D   0x00000480     12     24     2     
30     >    0x0000003E   0x000004B0     11     24     2     
31     ?    0x0000003F   0x000004E0     8      24     1     
32     @    0x00000040   0x000004F8     21     24     3     
33     A    0x00000041   0x00000540     17     24     3     
34     B    0x00000042   0x00000588     11     24     2     
35     C    0x00000043   0x000005B8     14     24     2     
36     D    0x00000044   0x000005E8     14     24     2     
37     E    0x00000045   0x00000618     10     24     2     
38     F    0x00000046   0x00000648     9      24     2     
39     G    0x00000047   0x00000678     15     24     2     
40     H    0x00000048   0x000006A8     14     24     2     
41     I    0x00000049   0x000006D8     2      24     1     
42     J    0x0000004A   0x000006F0     7      24     1     
43     K    0x0000004B   0x00000708     13     24     2     
44     L    0x0000004C   0x00000738     10     24     2     
45     M    0x0000004D   0x00000768     18     24     3     
46     N    0x0000004E   0x000007B0     15     24     2     
47     O    0x0000004F   0x000007E0     17     24     3     
48     P    0x00000050   0x00000828     11     24     2     
49     Q    0x00000051   0x00000858     18     24     3     
50     R    0x00000052   0x000008A0     13     24     2     
51     S    0x00000053   0x000008D0     10     24     2     
52     T    0x00000054   0x00000900     12     24     2     
53     U    0x00000055   0x00000930     13     24     2     
54     V    0x00000056   0x00000960     16     24     2     
55     W    0x00000057   0x00000990     24     24     3     
56     X    0x00000058   0x000009D8     15     24     2     
57     Y    0x00000059   0x00000A08     14     24     2     
58     Z    0x0000005A   0x00000A38     14     24     2     
59     [    0x0000005B   0x00000A68     5      24     1     
60     \    0x0000005C   0x00000A80     10     24     2     
61     ]    0x0000005D   0x00000AB0     5      24     1     
62     ^    0x0000005E   0x00000AC8     12     24     2     
63     _    0x0000005F   0x00000AF8     11     24     2     
64     `    0x00000060   0x00000B28     5      24     1     
65     a    0x00000061   0x00000B40     10     24     2     
66     b    0x00000062   0x00000B70     12     24     2     
67     c    0x00000063   0x00000BA0     10     24     2     
68     d    0x00000064   0x00000BD0     12     24     2     
69     e    0x00000065   0x00000C00     12     24     2     
70     f    0x00000066   0x00000C30     8      24     1     
71     g    0x00000067   0x00000C48     12     24     2     
72     h    0x00000068   0x00000C78     11     24     2     
73     i    0x00000069   0x00000CA8     3      24     1     
74     j    0x0000006A   0x00000CC0     7      24     1     
75     k    0x0000006B   0x00000CD8     11     24     2     
76     l    0x0000006C   0x00000D08     2      24     1     
77     m    0x0000006D   0x00000D20     18     24     3     
78     n    0x0000006E   0x00000D68     11     24     2     
79     o    0x0000006F   0x00000D98     12     24     2     
80     p    0x00000070   0x00000DC8     12     24     2     
81     q    0x00000071   0x00000DF8     12     24     2     
82     r    0x00000072   0x00000E28     7      24     1     
83     s    0x00000073   0x00000E40     9      24     2     
84     t    0x00000074   0x00000E70     7      24     1     
85     u    0x00000075   0x00000E88     11     24     2     
86     v    0x00000076   0x00000EB8     13     24     2     
87     w    0x00000077   0x00000EE8     19     24     3     
88     x    0x00000078   0x00000F30     12     24     2     
89     y    0x00000079   0x00000F60     13     24     2     
90     z    0x0000007A   0x00000F90     11     24     2     
91     {    0x0000007B   0x00000FC0     6      24     1     
92     |    0x0000007C   0x00000FD8     2      24     1     
93     }    0x0000007D   0x00000FF0     6      24     1     
94     ~    0x0000007E   0x00001008     13     24     2     
