Image Index Table
================================================================================
No.  Name                             Offset(Hex)  Size(Bytes)  Width    Height  
--------------------------------------------------------------------------------
0    airdischarge                     0x00000000   4608         48       48      
1    analog                           0x00001200   4608         48       48      
2    bar                              0x00002400   4608         48       48      
3    cancel                           0x00003600   4608         48       48      
4    cancelsel                        0x00004800   4608         48       48      
5    CIU                              0x00005A00   4608         48       48      
6    counter                          0x00006C00   4608         48       48      
7    empty                            0x00007E00   4608         48       48      
8    flow                             0x00009000   4608         48       48      
9    flowctrl                         0x0000A200   4608         48       48      
10   frame1（左上）                       0x0000B400   4608         48       48      
11   frame2（右上）                       0x0000C600   4608         48       48      
12   frame3（左下）                       0x0000D800   4608         48       48      
13   frame4（右下）                       0x0000EA00   4608         48       48      
14   liquidLow                        0x0000FC00   4608         48       48      
15   ok                               0x00010E00   4608         48       48      
16   OoverT                           0x00012000   4608         48       48      
17   outvale                          0x00013200   4608         48       48      
18   overL                            0x00014400   4608         48       48      
19   powerfault                       0x00015600   4608         48       48      
20   pro                              0x00016800   4608         48       48      
21   pulse                            0x00017A00   4608         48       48      
22   return1                          0x00018C00   4608         48       48      
23   return2                          0x00019E00   4608         48       48      
24   short                            0x0001B000   4608         48       48      
25   slowmode                         0x0001C200   4608         48       48      
26   standbyback                      0x0001D400   4608         48       48      
27   valvedischarge                   0x0001E600   3456         48       36      
28   valveposIn                       0x0001F380   4608         48       48      
29   valveposOut                      0x00020580   4608         48       48      
30   warn1                            0x00021780   4608         48       48      
31   warn2                            0x00022980   4608         48       48      
32   下一计量时间                           0x00023B80   4608         48       48      
33   下级菜单                             0x00024D80   4608         48       48      
34   信息1                              0x00025F80   4608         48       48      
35   信息2                              0x00027180   4608         48       48      
36   停机                               0x00028380   4608         48       48      
37   剩余批量                             0x00029580   4608         48       48      
38   图片1                              0x0002A780   4608         48       48      
39   外部停机                             0x0002B980   4608         48       48      
40   实际背压                             0x0002CB80   4608         48       48      
41   总线                               0x0002DD80   4608         48       48      
42   总计投加容积                           0x0002EF80   4608         48       48      
43   手动                               0x00030180   4608         48       48      
44   系统锁                              0x00031380   4608         48       48      
45   维修                               0x00032580   4608         48       48      
46   自动排气                             0x00033780   4608         48       48      
47   设置1                              0x00034980   4608         48       48      
48   设置2                              0x00035B80   4608         48       48      
49   输入电流                             0x00036D80   4608         48       48      
50   运行2                              0x00037F80   4608         48       48      
51   运行中                              0x00039180   4608         48       48      
52   运行状态1                            0x0003A380   4608         48       48      
53   运行状态2                            0x0003B580   4608         48       48      
54   运行状态3                            0x0003C780   4608         48       48      
55   运行状态4                            0x0003D980   4608         48       48      
56   选择1                              0x0003EB80   4608         48       48      
57   选择2-1                            0x0003FD80   4608         48       48      
58   选择2-2                            0x00040F80   4608         48       48      
59   闪光符号                             0x00042180   4608         48       48      
================================================================================
Total images: 60
Binary file size: 277976 bytes
Table offset in binary: 0x00043380
