Altium Designer Pick and Place Locations
D:\GH0050\prj\pcb\Others\V1.2\Project Outputs for controller_V1.2\Pick Place\Pick Place for controller_V1.1.txt

========================================================================================================================
File Design Information:

Date:       20/08/24
Time:       09:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                               
C26        10nF/50V            BottomLayer 0603C                  7885.677      5180.528      270      Capacitor                                                                                                                 
C24        10nF/50V            BottomLayer 0603C                  8697.000      5189.528      270      Capacitor                                                                                                                 
C23        10nF/50V            BottomLayer 0603C                  8023.677      5177.528      270      Capacitor                                                                                                                 
C22        10nF/50V            BottomLayer 0603C                  8832.428      5189.528      270      Capacitor                                                                                                                 
C20        10nF/50V            BottomLayer 0603C                  8210.000      5182.528      270      Capacitor                                                                                                                 
C19        10nF/50V            BottomLayer 0603C                  8967.857      5189.528      270      Capacitor                                                                                                                 
C18        10nF/50V            BottomLayer 0603C                  8336.000      5181.472      270      Capacitor                                                                                                                 
C16        10nF/50V            BottomLayer 0603C                  9103.285      5189.528      270      Capacitor                                                                                                                 
U8         TLP291-4            TopLayer    SOP16-T                8171.000      4664.984      270      ""                                                                                                                        
U7         TLP291-4            TopLayer    SOP16-T                8936.000      4681.016      270      ""                                                                                                                        
R47        5.1K                TopLayer    0603R                  8046.000      4389.472      90       ""                                                                                                                        
R46        3.3K                BottomLayer 0603R                  7956.528      5177.528      90       ""                                                                                                                        
R43        5.1K                TopLayer    0603R                  8144.000      4391.472      90       ""                                                                                                                        
R42        3.3K                BottomLayer 0603R                  8082.000      5178.472      90       ""                                                                                                                        
R41        5.1K                TopLayer    0603R                  8248.000      4389.472      90       ""                                                                                                                        
R38        3.3K                BottomLayer 0603R                  8146.000      5181.472      90       ""                                                                                                                        
R36        5.1K                TopLayer    0603R                  8347.000      4388.472      90       ""                                                                                                                        
R35        3.3K                BottomLayer 0603R                  8268.333      5181.472      90       ""                                                                                                                        
R34        5.1K                TopLayer    0603R                  8812.000      4392.528      90       ""                                                                                                                        
R33        3.3K                BottomLayer 0603R                  8764.714      5189.528      90       ""                                                                                                                        
R32        5.1K                TopLayer    0603R                  8914.000      4393.528      90       ""                                                                                                                        
R31        3.3K                BottomLayer 0603R                  8900.143      5189.528      90       ""                                                                                                                        
R16        5.1K                TopLayer    0603R                  9013.000      4395.528      90       ""                                                                                                                        
R15        3.3K                BottomLayer 0603R                  9035.571      5189.528      90       ""                                                                                                                        
R10        5.1K                TopLayer    0603R                  9112.000      4395.528      90       ""                                                                                                                        
R9         3.3K                BottomLayer 0603R                  9170.999      5189.528      90       ""                                                                                                                        
P11        "Header 9"          TopLayer    2ETYR-5.08-09P-14-100  8272.000      5494.016      180      "Header, 9-Pin"                                                                                                           
D43        LL4148              TopLayer    DO-213AB/LL34/MiniMELF 7927.000      5188.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
D42        LL4148              TopLayer    DO-213AB/LL34/MiniMELF 8066.000      5189.000      270      VISHAY,LL4148,‘≤÷˘ÃÂMiniMELF100V/2A,ROHS                                                                                     
