Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U2         TLP521-2GB            1919mil      -1750mil       1919mil      -1750mil   1741.835mil      -1900mil  B        360.00 TLP521-2       
P1         HDR1X8                3431mil       -648mil       3781mil       -648mil       3781mil       -648mil  T        180.00 Header 8       
U4         LQFP-64           2425.063mil  -1075.638mil       2179mil       -928mil       2179mil       -928mil  T        360.00 STM32F103R8T6  
R56        0805R                 2952mil    -468.37mil       2952mil       -429mil       2952mil       -429mil  T        270.00 10K            
R55        0603R                 2874mil   -456.528mil       2874mil       -427mil       2874mil       -427mil  T        270.00 20K            
USB1       USB-A              680.567mil  -3154.118mil    542.772mil      -3099mil    542.772mil      -3099mil  T          0.00 Header 5       
Q18        PowerPAK_SO-8     3209.181mil  -2951.622mil   3356.772mil      -3053mil    3319.37mil  -3026.622mil  T        180.00 SI7489DP       
C20        1210C             2974.772mil  -2874.024mil   2974.772mil      -2938mil   2974.772mil      -2938mil  T         90.00 GRM32ER72A225KA35L
C1         0805c              1877.37mil       -811mil       1838mil       -811mil       1838mil       -811mil  T          0.00 22pF           
C2         0805c              1880.37mil      -1230mil       1841mil      -1230mil       1841mil      -1230mil  T          0.00 22pF           
C4         0805c                 2082mil   -1233.63mil       2082mil      -1273mil       2082mil      -1273mil  T         90.00 100nF          
C5         0805c              2060.37mil       -813mil       2021mil       -813mil       2021mil       -813mil  T        360.00 100nF          
C3         0805c              1880.37mil      -1322mil       1841mil      -1322mil       1841mil      -1322mil  T          0.00 100nF          
C6         0805c                 2256mil   -1472.63mil       2256mil      -1512mil       2256mil      -1512mil  T         90.00 100nF          
C7         0805c                 2783mil    -888.37mil       2783mil       -849mil       2783mil       -849mil  T        270.00 100nF          
C16        CAP_5MM            409.772mil  -1958.425mil    409.772mil      -1860mil    409.772mil      -1860mil  T        270.00 10nF/630V      
C17        AXIAL-0.3          226.772mil      -2659mil    226.772mil      -2659mil     76.772mil      -2659mil  T        360.00 1.5nF/630V     
L2         AXIAL-0.5              325mil      -1647mil        325mil      -1647mil        575mil      -1647mil  B        180.00 100uH          
P3         HDR1X4                  91mil       -643mil         91mil       -793mil         91mil       -793mil  T         90.00 Header 4       
P2         HDR1X3                 399mil       -662mil        399mil       -762mil        399mil       -762mil  T         90.00 Header 3       
P4         HDR1X3            1620.772mil      -1134mil   1620.772mil      -1034mil   1620.772mil      -1034mil  B        270.00 Header 3       
Q9         to220               93.772mil      -1953mil     93.772mil      -2053mil     93.772mil      -2053mil  T         90.00 BU406          
R14        0805R                 2072mil   -1023.63mil       2072mil      -1063mil       2072mil      -1063mil  T         90.00 1MR            
R13        0805R                 2346mil    -674.37mil       2346mil       -635mil       2346mil       -635mil  B        270.00 2K             
R15        0805R              1879.37mil      -1405mil       1840mil      -1405mil       1840mil      -1405mil  T          0.00 10K            
R17        0603R             1526.772mil  -1082.473mil   1526.772mil      -1112mil   1526.772mil      -1112mil  T         90.00 100            
R12        0805R                 2436mil    -675.37mil       2436mil       -636mil       2436mil       -636mil  B        270.00 2K             
R23        0603R                 1832mil   -1644.46mil       1832mil  -1673.987mil       1832mil  -1673.987mil  T         90.00 100            
R24        AXIAL-0.4          283.772mil      -1117mil    283.772mil      -1117mil    283.772mil       -917mil  B        270.00 0              
R25        AXIAL-0.4          174.772mil      -1117mil    174.772mil      -1117mil    174.772mil       -917mil  B        270.00 1.2K           
FU2        F0805             3158.607mil       -431mil   3158.607mil       -386mil   3158.607mil       -386mil  T        270.00 500mA/6V       
J5         SIP-4L            1078.772mil       -150mil    928.772mil       -150mil    928.772mil       -150mil  T          0.00 IIC            
J2         SIP-4L             481.772mil       -150mil    331.772mil       -150mil    331.772mil       -150mil  T          0.00 IIC            
J11        MG7.62                3469mil      -3222mil       3169mil      -3222mil       3169mil      -3222mil  T          0.00 Header 3       
Y1         SMT5032               1917mil      -1027mil       1917mil      -1027mil       1917mil  -1109.678mil  T         90.00 8MHz           
C10        1210C             2834.772mil  -2874.024mil   2834.772mil      -2938mil   2834.772mil      -2938mil  T         90.00 GRM32ER72A225KA35L
R43        0603R             1810.527mil      -2104mil       1781mil      -2104mil       1781mil      -2104mil  T        360.00 6.37K          
R44        0603R             1750.527mil      -2040mil       1721mil      -2040mil       1721mil      -2040mil  T        360.00 121K           
R46        0603R             1333.472mil      -2051mil       1363mil      -2051mil       1363mil      -2051mil  T        180.00 453K           
