CFGMEM_ID,HIDDEN,NAME,COMPATIBLE_DEVICES,MEM_DEVICE,MEM_TYPE,MEM_DENSITY,DATA_WIDTH,COMPATIBLE_RS_PINS,MEM_MANUFACTURER,MEM_INTERFACE_FILE,NUM_CFG_FILES,MEM_DEVICE_ALIAS,MEM_FAMILY
11,1,qspi-x4-single,#NAME?,qspi,qspi,0,x4-single,,,,1,,
12,1,qspi-x4-dual_stacked,#NAME?,qspi,qspi,0,x4-dual_stacked,,,,1,,
13,1,qspi-x8-dual_parallel,#NAME?,qspi,qspi,0,x8-dual_parallel,,,,1,,
14,1,nor,#NAME?,nor,nor,0,NA,,,,1,,
15,1,nand-x8,#NAME?,nand,nand,0,NA,,,,1,,
16,1,nand-x16,#NAME?,nand,nand,0,NA,,,,1,,
17,0,s29gl128s-bpi-x16,#NAME?,s29gl128s,bpi,128,x16,"""22:13""",Spansion,,1,,s29glxxxs
18,0,s29gl128p-bpi-x16,#NAME?,s29gl128p,bpi,128,x16,"""22:13""",Spansion,,1,,s29glxxxp
19,0,s29gl256p-bpi-x16,#NAME?,s29gl256p,bpi,256,x16,"""23:13""",Spansion,,1,,s29glxxxp
20,0,s29gl512p-bpi-x16,#NAME?,s29gl512p,bpi,512,x16,"""24:13""",Spansion,,1,,s29glxxxp
21,0,s29gl01gp-bpi-x16,#NAME?,s29gl01gp,bpi,1024,x16,"""25:13""",Spansion,,1,,s29glxxxp
22,0,s29gl256s-bpi-x16,#NAME?,s29gl256s,bpi,256,x16,"""23:13""",Spansion,,1,,s29glxxxs
23,0,s29gl512s-bpi-x16,#NAME?,s29gl512s,bpi,512,x16,"""24:13""",Spansion,,1,,s29glxxxs
24,0,s29gl01gs-bpi-x16,#NAME?,s29gl01gs,bpi,1024,x16,"""25:13""",Spansion,,1,,s29glxxxs
25,0,s29gl128p-bpi-x8,#NAME?,s29gl128p,bpi,128,x8,"""23:13""",Spansion,,1,,s29glxxxp
26,0,s29gl256p-bpi-x8,#NAME?,s29gl256p,bpi,256,x8,"""24:13""",Spansion,,1,,s29glxxxp
27,0,s29gl512p-bpi-x8,#NAME?,s29gl512p,bpi,512,x8,"""25:13""",Spansion,,1,,s29glxxxp
28,0,s29gl01gp-bpi-x8,#NAME?,s29gl01gp,bpi,1024,x8,"""26:13""",Spansion,,1,,s29glxxxp
29,0,28f640p30t-bpi-x16,#NAME?,28f640p30t,bpi,64,x16,"""21:13""",Micron,,1,,p30
30,0,28f640p30b-bpi-x16,#NAME?,28f640p30b,bpi,64,x16,"""21:13""",Micron,,1,,p30
31,0,28f128p30t-bpi-x16,#NAME?,28f128p30t,bpi,128,x16,"""22:13""",Micron,,1,,p30
32,0,28f128p30b-bpi-x16,#NAME?,28f128p30b,bpi,128,x16,"""22:13""",Micron,,1,,p30
33,0,28f256p30t-bpi-x16,#NAME?,28f256p30t,bpi,256,x16,"""23:13""",Micron,,1,,p30
34,0,28f256p30b-bpi-x16,#NAME?,28f256p30b,bpi,256,x16,"""23:13""",Micron,,1,,p30
35,0,28f512p30t-bpi-x16,#NAME?,28f512p30t,bpi,512,x16,"""24:13""",Micron,,1,,p30
36,0,28f512p30e-bpi-x16,#NAME?,28f512p30e,bpi,512,x16,"""24:13""",Micron,,1,,p30
37,0,28f512p30b-bpi-x16,#NAME?,28f512p30b,bpi,512,x16,"""24:13""",Micron,,1,,p30
38,0,28f00ap30t-bpi-x16,#NAME?,28f00ap30t,bpi,1024,x16,"""25:13""",Micron,,1,,p30
39,0,28f00ap30e-bpi-x16,#NAME?,28f00ap30e,bpi,1024,x16,"""25:13""",Micron,,1,,p30
40,0,28f00ap30b-bpi-x16,#NAME?,28f00ap30b,bpi,1024,x16,"""25:13""",Micron,,1,,p30
41,0,28f00bp30e-bpi-x16,#NAME?,28f00bp30e,bpi,2048,x16,"""26:13""",Micron,,1,,p30
42,0,28f640p33t-bpi-x16,#NAME?,28f640p33t,bpi,64,x16,"""21:13""",Micron,,1,,p33
43,0,28f640p33b-bpi-x16,#NAME?,28f640p33b,bpi,64,x16,"""21:13""",Micron,,1,,p33
44,0,28f128p33t-bpi-x16,#NAME?,28f128p33t,bpi,128,x16,"""22:13""",Micron,,1,,p33
45,0,28f128p33b-bpi-x16,#NAME?,28f128p33b,bpi,128,x16,"""22:13""",Micron,,1,,p33
48,0,28f256p33t-bpi-x16,#NAME?,28f256p33t,bpi,256,x16,"""23:13""",Micron,,1,,p33
49,0,28f256p33b-bpi-x16,#NAME?,28f256p33b,bpi,256,x16,"""23:13""",Micron,,1,,p33
50,0,28f512p33t-bpi-x16,#NAME?,28f512p33t,bpi,512,x16,"""24:13""",Micron,,1,,p33
51,0,28f512p33e-bpi-x16,#NAME?,28f512p33e,bpi,512,x16,"""24:13""",Micron,,1,,p33
52,0,28f512p33b-bpi-x16,#NAME?,28f512p33b,bpi,512,x16,"""24:13""",Micron,,1,,p33
53,0,28f00ap33t-bpi-x16,#NAME?,28f00ap33t,bpi,1024,x16,"""25:13""",Micron,,1,,p33
54,0,28f00ap33e-bpi-x16,#NAME?,28f00ap33e,bpi,1024,x16,"""25:13""",Micron,,1,,p33
55,0,28f00ap33b-bpi-x16,#NAME?,28f00ap33b,bpi,1024,x16,"""25:13""",Micron,,1,,p33
57,0,28f128g18f-bpi-x16,#NAME?,28f128g18f,bpi,128,x16,"""22:13""",Micron,,1,,g18
61,0,28f064m29ewh-bpi-x16,#NAME?,28f064m29ewh,bpi,64,x16,"""21:13""",Micron,,1,,m29ew
62,0,28f064m29ewl-bpi-x16,#NAME?,28f064m29ewl,bpi,64,x16,"""21:13""",Micron,,1,,m29ew
63,0,28f064m29ewt-bpi-x16,#NAME?,28f064m29ewt,bpi,64,x16,"""21:13""",Micron,,1,,m29ew
