Altium Designer Pick and Place Locations
D:\GH0050\pcb\Others\冰箱\PCB\V1.2\ctrl\Project Outputs for ctrl_board\Pick Place\Pick Place for ctrl_boardV1.2.csv

========================================================================================================================
File Design Information:

Date:       05/11/25
Time:       16:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"T2","12V","TopLayer","FIX-4.5","6400.000","774.000","0",""
"T1","12V","TopLayer","FIX-4.5","6715.000","787.000","0",""
"C34","CEN5R5155CF-ZG","TopLayer","CAP-TH_BD21.0-P5.00-D0.8_CENXXX-CF","1282.425","500.000","180","电解电容"
"R93","1k/1%","TopLayer","0603R","1752.473","797.000","180",""
"D29","1N4148WS","TopLayer","SOD323","1740.245","883.000","0",""
"D28","BZT52C12S","TopLayer","DIOD-SOD323-2_V","659.000","2859.001","270","Surface Mount Zener Diode, 12 V, -65 to 150 degC, 2-Pin SOD323, RoHS, Tape and Reel"
"T10","GND","TopLayer","FIX-4.5","6956.000","430.000","0",""
"T9","12V","TopLayer","FIX-4.5","5901.150","459.150","0",""
"C4","1uF/50V/X5R","TopLayer","0805C","4554.150","1912.780","270","Capacitor"
"C5","2.2uF/25V","TopLayer","1210C","4047.150","1946.174","270","Capacitor"
"C6","1uF/50V/X5R","TopLayer","0603C","4988.733","2167.150","0","Capacitor"
"C7","1uF/50V/X5R","TopLayer","0603C","4545.150","2319.678","90","Capacitor"
"C8","10uF/25V","TopLayer","0603C","5898.150","1145.622","270","Capacitor"
"C9","22pF/50V","TopLayer","0603C","4773.150","2315.678","90","Capacitor"
"C10","10uF/25V","TopLayer","0603C","5968.150","1145.622","270","Capacitor"
"C11","0.1uF/50V/X5R","TopLayer","0603C","4426.150","2155.622","270","Capacitor"
"C12","0.1uF/50V/X5R","TopLayer","0603C","4611.150","2317.622","270","Capacitor"
"D1","1N4007","TopLayer","DO-214-AC","5855.150","2420.150","90","贴片二极管"
"D2","1N4007","TopLayer","DO-214-AC","6473.150","2353.150","90","贴片二极管"
"D3","1N4007","TopLayer","DO-214-AC","5872.150","1942.150","90","贴片二极管"
"D4","1N4007","TopLayer","DO-214-AC","7205.150","2444.150","0","贴片二极管"
"D5","1N4007","TopLayer","DO-214-AC","7107.150","1600.150","0","贴片二极管"
"D6","1N4007","TopLayer","DO-214-AC","6505.150","1895.150","90","贴片二极管"
"D7","1N4007","TopLayer","DO-214-AC","6509.150","1405.150","90","贴片二极管"
"D8","1N4007","TopLayer","DO-214-AC","5848.150","1401.150","90","贴片二极管"
"D9","1N4007","TopLayer","DO-214-AC","7135.150","1993.150","0","贴片二极管"
"D10","1N4007","TopLayer","DO-214-AC","7106.150","1248.150","0","贴片二极管"
"D11","1N4007","TopLayer","DO-214-AC","6999.150","2883.150","180","贴片二极管"
"D12","PDS1040-13","BottomLayer","POWERDI-5_L5.4-W4.0-LS6.5-RD","4624.150","1128.150","270",""
"D13","PDS1040-13","BottomLayer","POWERDI-5_L5.4-W4.0-LS6.5-RD","4912.150","1130.150","270",""
"D14","bat54c","TopLayer","sot23-3","4302.709","2164.780","180",""
"D16","SMCJ28CA","BottomLayer","SMC","4258.150","1451.276","270","Schottky Diode"
"D17","BZT52C27","BottomLayer","sod123","4082.784","1026.150","0",""
"L2","SMMS1040-3R3M","BottomLayer","MSS1038","5479.150","1504.111","270",""
"LED1","发光二极管","TopLayer","0603LED","4825.071","1889.370","180",""
"LED2","发光二极管","TopLayer","0603LED","4823.071","1955.370","180",""
"NTC","NCP18XH103F03RB","TopLayer","HDR1X2","4843.150","2135.150","270","XH2.54 2P 立贴"
"Q1","BC817-16","TopLayer","SOT23-3","5638.520","2462.363","270","三极管"
"Q2","BC817-16","TopLayer","SOT23-3","6257.520","2425.363","270","三极管"
"Q3","BC817-16","TopLayer","SOT23-3","5599.520","2003.363","270","三极管"
"Q6","AO3400","TopLayer","SOT23-3","5637.780","2247.938","90","MOSFET N"
"Q7","AO3400","TopLayer","SOT23-3","6265.780","2175.938","90","MOSFET N"
"Q8","AO3400","TopLayer","SOT23-3","5603.780","1775.938","90","MOSFET N"
"Q9","S8050","TopLayer","SOT23-3","6921.937","2291.520","0","NPN Bipolar Transistor"
"Q10","S8050","TopLayer","SOT23-3","6888.937","1431.520","0","NPN Bipolar Transistor"
"Q11","BC817-16","TopLayer","SOT23-3","6262.520","1990.363","270","三极管"
"Q12","BC817-16","TopLayer","SOT23-3","6258.520","1510.363","270","三极管"
"Q13","BC817-16","TopLayer","SOT23-3","5620.520","1468.363","270","三极管"
"Q14","AO3400","TopLayer","SOT23-3","6264.780","1753.938","90","MOSFET N"
