Altium Designer Pick and Place Locations
D:\GH0050\pcb\Others\hubei\dtu\Project Outputs for dtu\Pick Place\Pick Place for DTU_V1.0.csv

========================================================================================================================
File Design Information:

Date:       22/05/25
Time:       10:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"LED2","LED_Green_19-217","TopLayer","0603led","7195.000","3949.528","270",""
"C65","100uF/50V","TopLayer","CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD","2854.999","2680.004","0","Polarized Capacitor (Surface Mount)"
"C67","100uF/50V","TopLayer","CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD","3374.996","1644.999","90","Polarized Capacitor (Surface Mount)"
"P18","KF2EDGR-3.5-2P","TopLayer","CONN-TH_P3.50_KF2EDGR-3.5-2P","3994.997","335.000","0","Header, 2-Pin"
"P17","KF2EDGR-3.5-2P","TopLayer","CONN-TH_P3.50_KF2EDGR-3.5-2P","4449.998","320.000","0","Header, 2-Pin"
"X1","32768","TopLayer","A","4780.000","1417.500","0","Crystal Oscillator"
"U31","74HC165D,653","BottomLayer","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","2640.000","3300.000","180",""
"U30","74HC165D,653","BottomLayer","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","1300.000","3310.000","180",""
"U27","74HC165D,653","BottomLayer","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","4375.000","3340.000","180",""
"U26","74HC165D,653","BottomLayer","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","6125.000","3335.000","180",""
"U33","TLP291-4","TopLayer","SOP16-T","3065.000","3309.016","270",""
"U32","TLP291-4","TopLayer","SOP16-T","2230.000","3299.016","270",""
"U29","TLP291-4","TopLayer","SOP16-T","1700.000","3305.984","270",""
"U28","TLP291-4","TopLayer","SOP16-T","915.000","3304.016","270",""
"U25","TLP291-4","TopLayer","SOP16-T","3955.000","3340.984","270",""
"U24","TLP291-4","TopLayer","SOP16-T","4820.000","3345.984","270",""
"U23","TLP291-4","TopLayer","SOP16-T","5645.000","3344.016","270",""
"U22","TLP291-4","TopLayer","SOP16-T","6565.000","3334.016","270",""
"U8","MC33079DG","TopLayer","SOP-14_N","6370.000","825.000","90","Quad High-speed, Ultra Low-power, Single-Supply TTL comparator"
"U5","MC33079DG","TopLayer","SOP-14_N","7610.000","825.000","90","Quad High-speed, Ultra Low-power, Single-Supply TTL comparator"
"U7","MC33079DG","TopLayer","SOP-14_N","5605.000","830.000","90","Quad High-speed, Ultra Low-power, Single-Supply TTL comparator"
"U6","MC33079DG","TopLayer","SOP-14_N","6980.715","835.000","90","Quad High-speed, Ultra Low-power, Single-Supply TTL comparator"
"U2","STM32F412RET6","TopLayer","LQFP-64","5066.063","2154.528","90",""
"U34","EC800ECNNQ-N03-SNNSA","TopLayer","LCC-LGA-109_L17.7-W15.8-P1.10_MC661","6535.750","2260.000","270",""
"P10","Header 5","TopLayer","KH-SMA-KE-Z","7705.000","2140.000","0","Header, 5-Pin"
"C12","CEN5R5155CF-ZG","TopLayer","CAP-TH_BD21.0-P5.00-D0.8_CENXXX-CF","4030.000","1530.000","270","µÁΩ‚µÁ»›"
"Y1","X50328MSB2GI","TopLayer","CRAY_5032","5007.165","1485.000","0",""
"U40","SIT3088","TopLayer","so-8","3985.000","793.189","270",""
"U39","SIT3088","TopLayer","so-8","4440.000","793.189","270",""
"U38","XL1509-5.0","TopLayer","so-8","2901.811","1261.618","180",""
"U37","XL1509-5.0","TopLayer","so-8","2853.189","2385.000","0",""
"U36","XL1509-5.0","TopLayer","so-8","7051.811","1411.618","180",""
"U35","SMF05C","TopLayer","sc70-6l","6925.000","3315.000","90",""
"U21","AQY210S","BottomLayer","sop4","1800.000","495.000","180","4-Pin Phototransistor Optocoupler"
"U20","AQY210S","BottomLayer","sop4","977.095","1890.000","180","4-Pin Phototransistor Optocoupler"
"U19","AQY210S","BottomLayer","sop4","915.000","475.000","180","4-Pin Phototransistor Optocoupler"
"U18","AQY210S","BottomLayer","sop4","1800.000","1928.000","180","4-Pin Phototransistor Optocoupler"
"U17","AQY210S","BottomLayer","sop4","940.000","1220.000","180","4-Pin Phototransistor Optocoupler"
"U16","AQY210S","BottomLayer","sop4","925.000","2590.000","180","4-Pin Phototransistor Optocoupler"
"U15","AQY210S","BottomLayer","sop4","1800.000","1190.000","180","4-Pin Phototransistor Optocoupler"
"U14","AQY210S","BottomLayer","sop4","1790.000","2600.000","180","4-Pin Phototransistor Optocoupler"
"U13","SN74HC595DBR","BottomLayer","SSOP16","2646.544","1751.567","0",""
"U3","W25Q128JVSIQ","TopLayer","so-8","4371.811","2315.000","180",""
"U1","REF5030ID","TopLayer","SO-8","5696.811","1390.000","0",""
"SIM1","XKNANO-113","TopLayer","Nano_SIM","7539.430","3335.709","90",""
"RLY8","SRD-05VDC-SL-C","TopLayer","RELAY-TH_SRD-XXVDC-XL-C","860.794","2598.780","0",""
"RLY7","SRD-05VDC-SL-C","TopLayer","RELAY-TH_SRD-XXVDC-XL-C","860.794","1904.187","0",""
"RLY6","SRD-05VDC-SL-C","TopLayer","RELAY-TH_SRD-XXVDC-XL-C","860.794","515.000","0",""
"RLY5","SRD-05VDC-SL-C","TopLayer","RELAY-TH_SRD-XXVDC-XL-C","1745.002","2598.780","0",""
"RLY4","SRD-05VDC-SL-C","TopLayer","RELAY-TH_SRD-XXVDC-XL-C","885.001","1250.000","0",""
