Altium Designer Pick and Place Locations
D:\GH0050\prj\pcb\Others\V1.1\ctrl\Project Outputs for controller_V1.1\Pick Place\Pick Place for controller_V1.1.txt

========================================================================================================================
File Design Information:

Date:       22/07/24
Time:       12:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                               
C45        0.1uF               TopLayer    0603C                  3415.898      4736.473      270      C                                                                                                                         
C46        0.1uF               TopLayer    0603C                  3419.898      5072.528      90       C                                                                                                                         
D78        SMBJ6.5A            BottomLayer SMB                    3811.898      5412.583      90       "Schottky Diode"                                                                                                          
D79        SMBJ6.5A            BottomLayer SMB                    3626.898      5412.583      90       "Schottky Diode"                                                                                                          
F7         SMD1210P020TS       TopLayer    1206R                  3655.898      5389.977      90       Fuse                                                                                                                      
F8         SMD1210P020TS       TopLayer    1206R                  3779.898      5387.977      90       Fuse                                                                                                                      
FB7        "JWWBW2012 M600HT"  TopLayer    0805CZ                 4139.000      4670.630      270      ""                                                                                                                        
FB8        "JWWBW2012 M600HT"  TopLayer    0805CZ                 3331.898      5061.630      270      ""                                                                                                                        
P23        "Header 2"          TopLayer    2X2.54MMZ              3712.898      5727.969      180      "Header, 2-Pin"                                                                                                           
R76        1K                  BottomLayer 0603R                  3744.000      4722.528      90       R                                                                                                                         
R110       120                 TopLayer    0603R                  3716.425      5531.001      0        R                                                                                                                         
R227       10K                 BottomLayer 0603R                  3639.000      4722.528      90       R                                                                                                                         
U12        ISO3080             TopLayer    SO-16                  3716.898      4903.851      90       ""                                                                                                                        
D72        SS14                BottomLayer DO-214AC               4912.291      3149.000      180      "Default Diode"                                                                                                           
R167       1K                  TopLayer    0603R                  347.000       4638.000      180      ""                                                                                                                        
R21        1K                  TopLayer    0603R                  348.000       4554.898      180      ""                                                                                                                        
D22        CESDB5V0D5          TopLayer    sod323                 348.661       4398.898      180      "Zener Diode"                                                                                                             
U13        AIR780EX            TopLayer    AIR780EX               1906.000      4320.567      270      ""                                                                                                                        
Y1         8MHz                TopLayer    CRAY_5032              1638.898      2252.166      270      HC49S-8MHz                                                                                                                
X3         32768               TopLayer    A                      4194.000      4143.185      180      "Crystal Oscillator"                                                                                                      
X2         32768               TopLayer    A                      4197.583      2980.501      180      "Crystal Oscillator"                                                                                                      
USB        "Header 5"          TopLayer    USB-MICRO-5P           2820.220      5740.835      0        "Header, 5-Pin"                                                                                                           
U56        LT1790-2.5          BottomLayer SOT23-6                3836.418      3729.685      0        "2.5V Micropower SOT-23  Low Dropout Reference"                                                                           
U54        ADS1158             TopLayer    S-PVFQN-N48            4239.000      3760.685      270      "16-Channel, 16-Bit Analog-to-Digital Converter"                                                                          
U52        MIC29302            TopLayer    TO228P1435X457-6N      512.362       2787.733      180      ""                                                                                                                        
U51        LM22676MRE-5.0/NOPB TopLayer    SOP127P600X168_HS-8N   507.898       825.229       270      ""                                                                                                                        
U50        MIC29302            TopLayer    TO228P1435X457-6N      507.362       1962.733      180      ""                                                                                                                        
U45        AQY210S             TopLayer    sop4                   4368.866      594.000       0        "4-Pin Phototransistor Optocoupler"                                                                                       
