Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"BT-REG-ON","OffPage","11.RK3399 PMU","11","SCHEMATIC1","U10C.V30","810","260","2C","[15,23]"
"BT-REG-ON","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","R99.1","1660","380","1C","[11,23]"
"BT-REG-ON","OffPage","23.WIFI","23","SCHEMATIC1","R191.1,R202.2,U21.34","1572","426","2C","[11,15]"
"HOST1_DM","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10D.AA31","350","230","4D","[26]"
"HOST1_DM","OffPage","26.USB TYPEA","26","SCHEMATIC1","ED20.1,J16.A2","714","234","3C","[14]"
"EFUSE_VQPS_EN_H","OffPage","11.RK3399 PMU","11","SCHEMATIC1","U12.3","250","690","4A","[15]"
"EFUSE_VQPS_EN_H","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10K.AK3","1400","1070","2A","[11]"
"LED2_EN","OffPage","11.RK3399 PMU","11","SCHEMATIC1","U10C.V26","810","290","2C","[21]"
"LED2_EN","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J6.22","1297","622","2C","[11]"
"MAC_RXER","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.F23","510","190","4D","[19]"
"MAC_RXER","OffPage","19.GMAC","19","SCHEMATIC1","R150.2","1625","731","1C","[15]"
"HDMI_TX0P","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AK17","310","90","4D","[20]"
"HDMI_TX0P","OffPage","20.HDMI","20","SCHEMATIC1","J4.7,U17.1,U17.10","277","705","5B","[17]"
"MAC_MCLK","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.G24","510","200","4D","[19]"
"MAC_MCLK","OffPage","19.GMAC","19","SCHEMATIC1","R117.2","1625","211","1D","[15]"
"HDMI_TX2N","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AL19","310","160","4D","[20]"
"HDMI_TX2N","OffPage","20.HDMI","20","SCHEMATIC1","J4.3,U18.2,U18.9","277","755","5A","[17]"
"MIPI_TX1/RX1_D3N","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AL10","890","550","2B","[21]"
"MIPI_TX1/RX1_D3N","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.2","651","892","4B","[16]"
"MIPI_TX1/RX1_D3P","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AK10","890","540","2B","[21]"
"MIPI_TX1/RX1_D3P","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.3","651","902","4B","[16]"
