Altium Designer Pick and Place Locations
F:\projects\gitt\Hardware\工装治具\PCB\Connector\Project Outputs for LB1020B\Pick Place\Pick Place for ConnectorBoard.txt

========================================================================================================================
File Design Information:

Date:       12/01/26
Time:       11:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description 
U15        LB1020B                TopLayer    LB1020B                2409.315      3735.811      180      ""          
U24        LB1020B                TopLayer    LB1020B                1294.354      3027.150      180      ""          
U18        LB1020B                TopLayer    LB1020B                1851.835      4444.473      180      ""          
U23        LB1020B                TopLayer    LB1020B                1294.354      3735.811      180      ""          
U17        LB1020B                TopLayer    LB1020B                1851.835      5153.134      180      ""          
U22        LB1020B                TopLayer    LB1020B                1294.354      4444.473      180      ""          
U16        LB1020B                TopLayer    LB1020B                2409.315      3027.150      180      ""          
U21        LB1020B                TopLayer    LB1020B                1294.354      5153.134      180      ""          
U14        LB1020B                TopLayer    LB1020B                2409.315      4444.473      180      ""          
U20        LB1020B                TopLayer    LB1020B                1851.835      3027.150      180      ""          
U13        LB1020B                TopLayer    LB1020B                2409.315      5153.134      180      ""          
U19        LB1020B                TopLayer    LB1020B                1851.835      3735.811      180      ""          
U4         LB1020B                TopLayer    LB1020B                4081.756      3027.150      180      ""          
U9         LB1020B                TopLayer    LB1020B                2966.795      5153.134      180      ""          
U6         LB1020B                TopLayer    LB1020B                3524.276      4444.473      180      ""          
U10        LB1020B                TopLayer    LB1020B                2966.795      4444.473      180      ""          
U5         LB1020B                TopLayer    LB1020B                3524.276      5153.134      180      ""          
U11        LB1020B                TopLayer    LB1020B                2966.795      3735.811      180      ""          
U3         LB1020B                TopLayer    LB1020B                4081.756      3735.811      180      ""          
U12        LB1020B                TopLayer    LB1020B                2966.795      3027.150      180      ""          
U2         LB1020B                TopLayer    LB1020B                4081.756      4444.473      180      ""          
U8         LB1020B                TopLayer    LB1020B                3524.276      3027.150      180      ""          
U1         LB1020B                TopLayer    LB1020B                4081.756      5153.134      180      ""          
U7         LB1020B                TopLayer    LB1020B                3524.276      3735.811      180      ""          
SMA18      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1857.040      4470.333      270      ""          
SMA24      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1298.039      3053.001      90       ""          
SMA9       *                      BottomLayer SMA-TH_HL-SMA-KHD4     2980.040      5178.999      270      ""          
SMA6       *                      BottomLayer SMA-TH_HL-SMA-KHD4     3534.040      4470.333      270      ""          
SMA23      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1298.039      3718.667      90       ""          
SMA10      *                      BottomLayer SMA-TH_HL-SMA-KHD4     2975.040      4470.333      270      ""          
SMA17      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1862.040      5178.999      270      ""          
SMA5       *                      BottomLayer SMA-TH_HL-SMA-KHD4     3539.040      5178.999      270      ""          
SMA22      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1298.040      4470.333      270      ""          
SMA11      *                      BottomLayer SMA-TH_HL-SMA-KHD4     2975.039      3718.667      90       ""          
