Altium Designer Pick and Place Locations
F:\projects\gitt\Hardware\工装治具\PCB\TestBoard\Project Outputs for Tetst\Pick Place\Pick Place for TestBoard.txt

========================================================================================================================
File Design Information:

Date:       12/01/26
Time:       11:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer    Footprint                            Center-X(mil) Center-Y(mil) Rotation Description               
U3         XDFH-0254-2*25P        TopLayer CONN-TH_50P-P2.54_LX_XDFH-0254-2X25P 1785.001      4405.000      180      ""                        
U1         XDFH-0254-2*25P        TopLayer CONN-TH_50P-P2.54_LX_XDFH-0254-2X25P 1785.001      6345.000      180      ""                        
U2         XDFH-0254-2*25P        TopLayer CONN-TH_50P-P2.54_LX_XDFH-0254-2X25P 1785.001      5375.000      180      ""                        
P1         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               4815.000      6395.000      270      ""                        
P2         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               5366.818      6395.000      270      ""                        
P3         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               4815.000      4975.000      270      ""                        
P4         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               5366.818      4975.000      270      ""                        
P5         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               5918.636      6395.000      270      ""                        
P6         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               6470.454      6395.000      270      ""                        
P7         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               5918.636      4975.000      270      ""                        
P8         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               6470.454      4975.000      270      ""                        
P9         KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               7022.272      6395.000      270      ""                        
P10        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               7574.091      6395.000      270      ""                        
P11        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               7022.272      4975.000      270      ""                        
P12        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               7574.091      4975.000      270      ""                        
P13        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               8125.909      6395.000      270      ""                        
P14        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               8677.727      6395.000      270      ""                        
P15        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               8125.909      4975.000      270      ""                        
P16        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               8677.727      4975.000      270      ""                        
P17        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               9229.545      6395.000      270      ""                        
P18        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               9781.363      6395.000      270      ""                        
P19        KH-2.54PH180-2X8P-L8.9 TopLayer IDC-TH_16P-P2.54_C3406               9229.545      4975.000      270      ""                        
